# phase-3D resolved-cross-plane oracle — key	u64 bits	repr
# pypy 3.11.15
d24/n48/J16.0	13576101076708360192	-1.0408340855860843e-17
g22/n48/J100.0	4586544480444718813	0.04429553535720541
g23/n48/J100.0	4586544480444718813	0.04429553535720541
g24/n48/J100.0	4586544480444718789	0.04429553535720524
d23/n48/J100.0	0	0.0
d24/n48/J100.0	13594115475217842176	-1.6653345369377348e-16
g22/n48/J400.0	4587163683910979014	0.04859212251451654
g23/n48/J400.0	4587163683910979014	0.04859212251451654
g24/n48/J400.0	4587163683910979021	0.04859212251451659
d23/n48/J400.0	0	0.0
d24/n48/J400.0	4362862139015168000	4.85722573273506e-17
g22/halfS/J4.0	4586252571751723504	0.04227001190688273
g22/halfS/J16.0	4584644013196286399	0.031179197376241193
g22/halfS/J64.0	4580884326487337178	0.018135163783576803
g22/halfS/J256.0	4585805974343732414	0.03917111987507259
g22/dblH/J4.0	4586252571751723504	0.04227001190688273
g22/dblH/J16.0	4584644013196286399	0.031179197376241193
g22/dblH/J64.0	4580884326487337178	0.018135163783576803
g22/dblH/J256.0	4585805974343732414	0.03917111987507259
g22/both/J4.0	4584644013196286399	0.031179197376241193
g22/both/J16.0	4580884326487337178	0.018135163783576803
g22/both/J64.0	4585805974343732415	0.039171119875072595
g22/both/J256.0	4587439878263269671	0.05050860582191979
g22/dp4/J4.0	4583803093701695531	0.028261671798894532
g22/dp4/J16.0	4580477973212618997	0.01672534265318944
g22/dp4/J64.0	4585243817160786709	0.035270370825292975
loc/g/base/idx	4611686018427387904	2.0
loc/g/base/J	4625196817309499392	16.0
loc/g/base/C	4612811918334230528	2.5
loc/g/base/gmin	4580884326487337178	0.018135163783576803
loc/g/base/clear_lo	4608172990664854727	1.219951138377654
loc/g/base/clear_hi	4609363476049781405	1.484291995342722
loc/g/base/v0	4584644013196286399	0.031179197376241193
loc/g/base/v1	4582034034199863763	0.022124013702439726
loc/g/base/v2	4580884326487337178	0.018135163783576803
loc/g/base/v3	4583415771635870148	0.02691787843819228
loc/g/base/v4	4585805974343732415	0.039171119875072595
loc/g/halfS/idx	4611686018427387904	2.0
loc/g/halfS/J	4634204016564240384	64.0
loc/g/halfS/C	4612811918334230528	2.5
