# phase-4F recombination-march oracle — key	u64 bits	repr
# pypy 3.11.15
ref/warm/V9_irrev_fast	4653032790535446506	1209.1675419229964
ref/warm/T_star	4654652282306411164	1577.3973382372997
ref/warm/comp_irrev/CO2	4590299008949489388	0.07819562062200774
ref/warm/comp_irrev/H2O	4590299005226485311	0.07819556895494716
ref/warm/comp_irrev/CO	4447533831792927170	2.256845722398665e-11
ref/warm/comp_irrev/H2	4450066229854678140	3.239832289707762e-11
ref/warm/comp_irrev/OH	4502398646707630324	1.0331444282480411e-07
ref/warm/comp_irrev/O	4454877110463483204	6.876815939491995e-11
ref/warm/comp_irrev/H	4401412940186731106	1.861618295156353e-14
ref/warm/comp_irrev/O2	4591314643163257802	0.09229037673104226
ref/warm/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/warm/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/warm/T_star	4654652282306411164	1577.3973382372997
eqhp/warm/H_entry	4662117041647571016	4906.7484237440585
eqhp/warm/comp/CO2	4590298864144905806	0.0781936110547232
eqhp/warm/comp/H2O	4590296090868878123	0.07815512411847851
eqhp/warm/comp/CO	4521855436135741121	2.009589853030732e-06
eqhp/warm/comp/H2	4514620713833118683	6.900657603443453e-07
eqhp/warm/comp/OH	4545501435348000027	7.959414050350383e-05
eqhp/warm/comp/O	4520978115172650412	1.77268930265794e-06
eqhp/warm/comp/H	4491261187324421351	1.8780171194347284e-08
eqhp/warm/comp/O2	4591313244920130752	0.09227097220962133
eqhp/warm/comp/N2	4605210854977551093	0.7811124449779913
eqhp/warm/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/warm/rise	4608069646142144512	1.1970040446612984
entry/hot/comp/CO2	4592648204074089202	0.1107972520803562
entry/hot/comp/H2O	4592640434833715201	0.11068943221101792
entry/hot/comp/CO	4563311042249764552	0.0012290991468572477
entry/hot/comp/H2	4552713395465211498	0.00023259853918099492
entry/hot/comp/OH	4567164654594361806	0.002176311244086216
entry/hot/comp/O	4551777580730848638	0.00020723322997999097
entry/hot/comp/H	4539895847844423716	3.232970994278297e-05
entry/hot/comp/O2	4586161135223282129	0.041635543537086435
entry/hot/comp/N2	4605210854977551093	0.7811124449779913
entry/hot/comp/Ar	4576516852069590693	0.009303721488595438
ref/hot/T9_frozen	4653247435782818574	1257.9722207344053
ref/hot/V9_frozen	4653900841345945308	1406.5394451775855
ref/hot/T9_reversible	4653308816264861714	1271.9285265370313
ref/hot/V9_reversible	4653929315186485836	1413.01364695527
ref/hot/T9_irrev_fast	4653310912630469458	1272.4051848903368
ref/hot/V9_irrev_fast	4653927388322135645	1412.5755287258864
ref/hot/T_star	4656527696657059080	2003.8171921230987
ref/hot/comp_irrev/CO2	4592736764998555460	0.11202628179816282
ref/hot/comp_irrev/H2O	4592736527827766438	0.11202299039227856
ref/hot/comp_irrev/CO	4499838338860317743	6.94290506093746e-08
ref/hot/comp_irrev/H2	4496435769990707352	4.2000535677837124e-08
ref/hot/comp_irrev/OH	4529450153797903061	6.637458525381782e-06
ref/hot/comp_irrev/O	4494844180229119252	3.146827812644855e-08
ref/hot/comp_irrev/H	4462194573841143980	2.1027299193377345e-10
ref/hot/comp_irrev/O2	4586147753238027967	0.041542687361184154
ref/hot/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/hot/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/hot/T_star	4656527696657059080	2003.8171921230987
eqhp/hot/H_entry	4659958750269714995	3519.896925350907
eqhp/hot/comp/CO2	4592709980421213813	0.11165457111729345
eqhp/hot/comp/H2O	4592692777612313562	0.11141583418567738
eqhp/hot/comp/CO	4555493756183590204	0.0003717801099199674
eqhp/hot/comp/H2	4545585254081276601	8.073009616242189e-05
eqhp/hot/comp/OH	4562494835141001243	0.0010521124427533893
eqhp/hot/comp/O	4544768876993088762	6.966612350516383e-05
eqhp/hot/comp/H	4530422948859874546	7.461447993797919e-06
eqhp/hot/comp/O2	4586137935913114863	0.04147456598519194
eqhp/hot/comp/N2	4605210854977551093	0.7811124449779913
eqhp/hot/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/hot/rise	4622953658204159872	12.015348981367197
entry/vhot/comp/CO2	4593250376660975368	0.11915407546484513
entry/vhot/comp/H2O	4593326594110967966	0.12021180506309512
entry/vhot/comp/CO	4569461802373291570	0.0031725402890605764
entry/vhot/comp/H2	4558409031971411742	0.000571353804094985
entry/vhot/comp/OH	4569062969180104189	0.0029995739632553407
entry/vhot/comp/O	4554315581690213861	0.0003079111426556854
entry/vhot/comp/H	4546072964892507557	8.733981017593777e-05
entry/vhot/comp/O2	4583463607617696902	0.02708384283953482
entry/vhot/comp/N2	4605210854977551093	0.7811124449779913
entry/vhot/comp/Ar	4576516852069590693	0.009303721488595438
ref/vhot/T9_frozen	4653538520191151364	1324.1571525212503
ref/vhot/V9_frozen	4654107115041659632	1453.4406535194103
ref/vhot/T9_reversible	4653659518115149502	1351.6688952217078
ref/vhot/V9_reversible	4654159864868935408	1465.434575626099
ref/vhot/T9_irrev_fast	4653662998407590232	1352.4602221055738
ref/vhot/V9_irrev_fast	4654156722035507227	1464.7199780382277
ref/vhot/T_star	4656873828448044935	2117.0368992546023
ref/vhot/comp_irrev/CO2	4593478948931334067	0.12232615293163356
ref/vhot/comp_irrev/H2O	4593478412695068130	0.12231871115852003
ref/vhot/comp_irrev/CO	4512342092912679445	4.628222721540505e-07
ref/vhot/comp_irrev/H2	4507947416017216324	2.342942967842282e-07
ref/vhot/comp_irrev/OH	4535148457409822551	1.533885958754309e-05
ref/vhot/comp_irrev/O	4502401314068843316	1.0334974505651712e-07
ref/vhot/comp_irrev/H	4475997480215235193	1.742590349006967e-09
ref/vhot/comp_irrev/O2	4583177259289973358	0.026090372506717356
ref/vhot/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/vhot/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/vhot/T_star	4656873828448044935	2117.0368992546023
eqhp/vhot/H_entry	4659030218411574817	3097.649522647975
eqhp/vhot/comp/CO2	4593391146971712646	0.12110765596689718
eqhp/vhot/comp/H2O	4593401315900658890	0.1212487782050459
eqhp/vhot/comp/CO	4563264282705714495	0.001218959787008547
eqhp/vhot/comp/H2	4553139833192368090	0.00024417368887263773
eqhp/vhot/comp/OH	4565209367850133782	0.0016407328948582814
eqhp/vhot/comp/O	4548730650102224003	0.00012464600980580465
eqhp/vhot/comp/H	4538470632056346840	2.6594825116099018e-05
eqhp/vhot/comp/O2	4583254864342066138	0.026359619118156853
eqhp/vhot/comp/N2	4605210854977551093	0.7811124449779913
eqhp/vhot/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/vhot/rise	4626716589849706496	21.399316692259163
fr100/cold/da003/T9	4649287247725231771	690.76485331725
fr100/cold/da003/V9	4651232437556512784	911.9073340038321
fr100/cold/da003/dS	13779917954748514304	-0.0004288179105174095
fr100/cold/da003/comp/CO2	4586280091573029937	0.042460969027182556
fr100/cold/da003/comp/H2O	4586279818633520673	0.04245907512888559
fr100/cold/da003/comp/CO	4483948437544136263	6.0966585528074116e-09
fr100/cold/da003/comp/H2	4480436169875113166	3.458334564678303e-09
fr100/cold/da003/comp/OH	4526066511296977854	3.793049555496596e-06
fr100/cold/da003/comp/O	4492902691180729964	2.4211451855825347e-08
fr100/cold/da003/comp/H	4447879864721664964	2.368654991913058e-11
fr100/cold/da003/comp/O2	4594424312477853809	0.14589141526295493
fr100/cold/da003/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da003/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da03/T9	4649287280221795569	690.768547748825
fr100/cold/da03/V9	4651232446619216398	911.9083643139472
fr100/cold/da03/dS	13778889340900343808	-0.00037305664207565314
fr100/cold/da03/comp/CO2	4586280091780873911	0.04246097046938984
fr100/cold/da03/comp/H2O	4586279883120773230	0.042459522599089236
fr100/cold/da03/comp/CO	4482204915983204195	4.654451320036213e-09
fr100/cold/da03/comp/H2	4478458856034384984	2.640536727686744e-09
fr100/cold/da03/comp/OH	4523957268179113553	2.899750348196372e-06
fr100/cold/da03/comp/O	4491172200346809273	1.848573798374568e-08
fr100/cold/da03/comp/H	4446145407924865015	1.808221774872533e-11
fr100/cold/da03/comp/O2	4594424320586359941	0.14589164031921
fr100/cold/da03/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da03/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da1/T9	4649287331142804769	690.7743367973345
fr100/cold/da1/V9	4651232463733486308	911.9103099811732
fr100/cold/da1/dS	13777510144757202944	-0.00029829026934180547
fr100/cold/da1/comp/CO2	4586280092118475424	0.04246097281197092
fr100/cold/da1/comp/H2O	4586279988056342775	0.042460250735873055
fr100/cold/da1/comp/CO	4477664189236728643	2.3118702434562816e-09
fr100/cold/da1/comp/H2	4473915154368909640	1.3119754567323238e-09
fr100/cold/da1/comp/OH	4519436043883252022	1.4461430053741006e-06
fr100/cold/da1/comp/O	4486633168704772662	9.18425164068183e-09
fr100/cold/da1/comp/H	4441603922155317857	8.979900510509223e-12
fr100/cold/da1/comp/O2	4594424333780636192	0.1458920065339422
fr100/cold/da1/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da1/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da3/T9	4649287368378700200	690.7785700285358
fr100/cold/da3/V9	4651232486200156145	911.9128641458211
fr100/cold/da3/dS	13777171158243737600	-0.00027991377362468484
fr100/cold/da3/comp/CO2	4586280092406522798	0.04246097481070109
fr100/cold/da3/comp/H2O	4586280078063747125	0.042460875287702406
fr100/cold/da3/comp/CO	4464620640754960524	3.131400599552649e-10
fr100/cold/da3/comp/H2	4460943084060754533	1.7792273933544855e-10
fr100/cold/da3/comp/OH	4506625943725482576	1.993152164722866e-07
fr100/cold/da3/comp/O	4473592343721937133	1.2452197795569844e-09
fr100/cold/da3/comp/H	4428553939713071471	1.2155487027301862e-12
fr100/cold/da3/comp/O2	4594424345097574276	0.14589232064207291
fr100/cold/da3/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da3/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da10/T9	4649287365687066366	690.7782640251969
fr100/cold/da10/V9	4651232500226845801	911.9144587958118
fr100/cold/da10/dS	13778041931804704768	-0.00032711850295186196
fr100/cold/da10/comp/CO2	4586280092451609507	0.04246097512355298
fr100/cold/da10/comp/H2O	4586280092427539562	0.042460974956534184
fr100/cold/da10/comp/CO	4419235690097781890	2.881831456670789e-13
fr100/cold/da10/comp/H2	4415643410503019758	1.6709652470136268e-13
fr100/cold/da10/comp/OH	4465029520624913354	3.342786537857764e-10
fr100/cold/da10/comp/O	4428299480874080292	1.1641611494327605e-12
fr100/cold/da10/comp/H	4383129029566658043	1.1103595425904946e-15
fr100/cold/da10/comp/O2	4594424346903397205	0.14589237076372777
fr100/cold/da10/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da10/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da30/T9	4649287362551473282	690.7779075495348
fr100/cold/da30/V9	4651232504036416139	911.9148918938166
fr100/cold/da30/dS	13778353513727262720	-0.00034400939281908904
fr100/cold/da30/comp/CO2	4586280092451651036	0.042460975123841144
fr100/cold/da30/comp/H2O	4586280092449910967	0.04246097511176699
fr100/cold/da30/comp/CO	4350861300132113128	7.530632169538469e-18
fr100/cold/da30/comp/H2	4364420862573550928	6.084611463055701e-17
fr100/cold/da30/comp/OH	4448022740841869723	2.4148207562217192e-11
fr100/cold/da30/comp/O	4374391477022638524	2.9088449491697425e-16
fr100/cold/da30/comp/H	4288660976564542688	5.395736240693637e-22
fr100/cold/da30/comp/O2	4594424346906203368	0.14589237084161444
fr100/cold/da30/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da30/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da300/T9	4649287361286313342	690.777763717502
fr100/cold/da300/V9	4651232505567221722	911.9150659262625
fr100/cold/da300/dS	13778478769587093504	-0.00035079952658634284
fr100/cold/da300/comp/CO2	4586280092451651039	0.042460975123841165
fr100/cold/da300/comp/H2O	4586280092450510002	0.04246097511592363
fr100/cold/da300/comp/CO	4344435368094688562	2.876926008043581e-18
fr100/cold/da300/comp/H2	4359634251485845949	2.8678864527877095e-17
fr100/cold/da300/comp/OH	4445449932256264123	1.5835014664471376e-11
fr100/cold/da300/comp/O	4369387044486588070	1.3309576303018262e-16
fr100/cold/da300/comp/H	4279789610687343632	1.3808683337641407e-22
fr100/cold/da300/comp/O2	4594424346906278248	0.14589237084369278
fr100/cold/da300/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da300/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da003/T9	4650350998156320114	811.6992759526895
fr100/dp/da003/V9	4652288376363524090	1039.9073556009666
fr100/dp/da003/dS	13781460706305245184	-0.0005366200299761203
fr100/dp/da003/comp/CO2	4588247562344465973	0.05611303996921572
fr100/dp/da003/comp/H2O	4588245338134555325	0.05609760641262571
fr100/dp/da003/comp/CO	4508869380033826075	2.789783831076045e-07
fr100/dp/da003/comp/H2	4502737038797364884	1.0779302484191983e-07
fr100/dp/da003/comp/OH	4539730220046016559	3.1207372324926527e-05
fr100/dp/da003/comp/O	4512979051903940199	5.162480425609413e-07
fr100/dp/da003/comp/H	4477179896817568802	2.111571593488569e-09
fr100/dp/da003/comp/O2	4593686247215286878	0.12540598905850947
fr100/dp/da003/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da003/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da03/T9	4650351258272123864	811.7288476958593
fr100/dp/da03/V9	4652288410420454042	1039.9150992503041
fr100/dp/da03/dS	13773675019373641728	-0.0001672641653556184
fr100/dp/da03/comp/CO2	4588247571839540595	0.05611310585453113
fr100/dp/da03/comp/H2O	4588245865784251487	0.05610126771788581
fr100/dp/da03/comp/CO	4507146456228534146	2.1309306770798923e-07
fr100/dp/da03/comp/H2	4500816576751642681	8.237592130007451e-08
fr100/dp/da03/comp/OH	4537685913519472734	2.3936095295884793e-05
fr100/dp/da03/comp/O	4511051267309093659	3.944865336917643e-07
fr100/dp/da03/comp/H	4475367374647822722	1.6122875717006368e-09
fr100/dp/da03/comp/O2	4593686313253332945	0.1254078219824906
fr100/dp/da03/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da03/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da1/T9	4650351667312585093	811.7753502123966
fr100/dp/da1/V9	4652288474819080509	1039.9297418026974
fr100/dp/da1/dS	4554448219398995968	0.0003151014472564384
fr100/dp/da1/comp/CO2	4588247587273703235	0.056113212950548184
