# slice T oracle (main) — rungs 46+47+48 readers — key	u64 bits (or an integer)	repr
B/r0.5/top/min_phi_lp	4604839298843509145	0.7398614274825831
B/r0.5/top/min_phi_hp	4606000343092322410	0.8687632332466937
B/r0.5/top/Tt4_peak	4654048002422341671	1440.0000000000089
B/r0.5/top/ratio	4610496291623472156	1.7358275818558075
B/r0.5/top/npts	126	126
B/r0.15/rho	4607182418800017408	1.0
B/r0.15/r	4594572339843380019	0.15
B/r0.15/Tt4_max	4654048002422341632	1440.0
B/r0.15/tau_gov_is_set	0	0
B/r0.15/Tt4_peak_bare	4655538323267097785	1778.859728061869
B/r0.15/Tt4_peak_top	4654048002422341663	1440.000000000007
B/r0.15/overshoot	4440267757610598400	7.048583938740194e-12
B/r0.15/min_phi_lp_bare	4604459860660990487	0.6977353268171694
B/r0.15/min_phi_lp_top	4604633017813620172	0.7169596325899703
B/r0.15/min_phi_hp_bare	4605514229885000486	0.8147938257123755
B/r0.15/min_phi_hp_top	4605862690997108394	0.8534807806972442
B/r0.15/relief_lp	4581198250292573856	0.019224305772800876
B/r0.15/relief_hp	4585736198829520960	0.03868695498486874
B/r0.15/held	1	1
B/r0.15/top/ext_lp	13820404629714347644	-0.21828573862449108
B/r0.15/top/ext_hp	13816891644295460728	-0.12289040309698673
B/r0.15/top/s_lp	4594932627813569659	0.16
B/r0.15/top/s_hp	4594932627813569659	0.16
B/r0.15/top/min_phi_lp	4604633017813620172	0.7169596325899703
B/r0.15/top/min_phi_hp	4605862690997108394	0.8534807806972442
B/r0.15/top/Tt4_peak	4654048002422341663	1440.000000000007
B/r0.15/top/ratio	4610678398849781655	1.7762635089756935
B/r0.15/top/npts	109	109
C/flow/press/taunone/rho	4607182418800017408	1.0
C/flow/press/taunone/r	4602678819172646912	0.5
C/flow/press/taunone/Tt4_max	4654223924282785792	1480.0
C/flow/press/taunone/tau_gov_is_set	0	0
C/flow/press/taunone/Tt4_peak_bare	4655171289185402739	1695.4058398939349
C/flow/press/taunone/Tt4_peak_top	4654223924282785796	1480.000000000001
C/flow/press/taunone/overshoot	4427038433705197568	9.094947017729282e-13
C/flow/press/taunone/min_phi_lp_bare	4604799708185174898	0.7354659814383082
C/flow/press/taunone/min_phi_lp_top	4604799708185174898	0.7354659814383082
C/flow/press/taunone/min_phi_hp_bare	4605932210771652934	0.861199026133854
C/flow/press/taunone/min_phi_hp_top	4605979651614493562	0.8664660177367829
C/flow/press/taunone/relief_lp	0	0.0
C/flow/press/taunone/relief_hp	4572722450037283328	0.005266991602928872
C/flow/press/taunone/held	1	1
C/flow/press/taunone/top/ext_lp	13818625670862212036	-0.1689097116869488
C/flow/press/taunone/top/ext_hp	13815351053925689032	-0.10151041684653273
C/flow/press/taunone/top/s_lp	4602678819172646913	0.5000000000000001
C/flow/press/taunone/top/s_hp	4599075939470750515	0.3
C/flow/press/taunone/top/min_phi_lp	4604799708185174898	0.7354659814383082
C/flow/press/taunone/top/min_phi_hp	4605979651614493562	0.8664660177367829
C/flow/press/taunone/top/Tt4_peak	4654223924282785796	1480.000000000001
C/flow/press/taunone/top/ratio	4610172648261760574	1.6639643194679503
C/flow/press/taunone/top/npts	126	126
C/flow/press/tau0.05/rho	4607182418800017408	1.0
C/flow/press/tau0.05/r	4602678819172646912	0.5
C/flow/press/tau0.05/Tt4_max	4654223924282785792	1480.0
C/flow/press/tau0.05/tau_gov_is_set	1	1
C/flow/press/tau0.05/tau_gov	4587366580439587226	0.05
C/flow/press/tau0.05/Tt4_peak_bare	4655171289185402739	1695.4058398939349
C/flow/press/tau0.05/Tt4_peak_top	4654468406379012706	1535.5887927991794
C/flow/press/tau0.05/overshoot	4633020244388760640	55.58879279917937
C/flow/press/tau0.05/min_phi_lp_bare	4604799708185174898	0.7354659814383082
C/flow/press/tau0.05/min_phi_lp_top	4604799708185174898	0.7354659814383082
C/flow/press/tau0.05/min_phi_hp_bare	4605932210771652934	0.861199026133854
C/flow/press/tau0.05/min_phi_hp_top	4605964272221020899	0.8647585620629709
C/flow/press/tau0.05/relief_lp	0	0.0
C/flow/press/tau0.05/relief_hp	4570354153564511488	0.0035595359291168416
C/flow/press/tau0.05/held	0	0
C/flow/press/tau0.05/top/ext_lp	13818683069736687712	-0.1705028504877104
C/flow/press/tau0.05/top/ext_hp	13815711598363244824	-0.10651397604621982
C/flow/press/tau0.05/top/s_lp	4602678819172646913	0.5000000000000001
C/flow/press/tau0.05/top/s_hp	4600156803381319435	0.36000000000000004
C/flow/press/tau0.05/top/min_phi_lp	4604799708185174898	0.7354659814383082
C/flow/press/tau0.05/top/min_phi_hp	4605964272221020899	0.8647585620629709
C/flow/press/tau0.05/top/Tt4_peak	4654468406379012706	1535.5887927991794
C/flow/press/tau0.05/top/ratio	4609887981786094502	1.6007556643432763
C/flow/press/tau0.05/top/npts	126	126
C/flow/press/tau0.1/rho	4607182418800017408	1.0
C/flow/press/tau0.1/r	4602678819172646912	0.5
C/flow/press/tau0.1/Tt4_max	4654223924282785792	1480.0
C/flow/press/tau0.1/tau_gov_is_set	1	1
C/flow/press/tau0.1/tau_gov	4591870180066957722	0.1
C/flow/press/tau0.1/Tt4_peak_bare	4655171289185402739	1695.4058398939349
C/flow/press/tau0.1/Tt4_peak_top	4654642903701973933	1575.2648904758782
C/flow/press/tau0.1/overshoot	4636404087643880144	95.26489047587825
C/flow/press/tau0.1/min_phi_lp_bare	4604799708185174898	0.7354659814383082
C/flow/press/tau0.1/min_phi_lp_top	4604799708185174898	0.7354659814383082
C/flow/press/tau0.1/min_phi_hp_bare	4605932210771652934	0.861199026133854
C/flow/press/tau0.1/min_phi_hp_top	4605958088295876910	0.8640720084552294
C/flow/press/tau0.1/relief_lp	0	0.0
C/flow/press/tau0.1/relief_hp	4568771068727650304	0.002872982321375339
C/flow/press/tau0.1/held	0	0
C/flow/press/tau0.1/top/ext_lp	13818760764251040240	-0.17265930645574157
C/flow/press/tau0.1/top/ext_hp	13815930899369364752	-0.1095573888751924
C/flow/press/tau0.1/top/s_lp	4602678819172646913	0.5000000000000001
C/flow/press/tau0.1/top/s_hp	4600877379321698715	0.4000000000000001
C/flow/press/tau0.1/top/min_phi_lp	4604799708185174898	0.7354659814383082
C/flow/press/tau0.1/top/min_phi_hp	4605958088295876910	0.8640720084552294
C/flow/press/tau0.1/top/Tt4_peak	4654642903701973933	1575.2648904758782
C/flow/press/tau0.1/top/ratio	4609776363174010010	1.575971353720695
C/flow/press/tau0.1/top/npts	126	126
C/flow/press/tau0.2/rho	4607182418800017408	1.0
C/flow/press/tau0.2/r	4602678819172646912	0.5
C/flow/press/tau0.2/Tt4_max	4654223924282785792	1480.0
C/flow/press/tau0.2/tau_gov_is_set	1	1
C/flow/press/tau0.2/tau_gov	4596373779694328218	0.2
C/flow/press/tau0.2/Tt4_peak_bare	4655171289185402739	1695.4058398939349
C/flow/press/tau0.2/Tt4_peak_top	4654828497623880025	1617.4640626395906
C/flow/press/tau0.2/overshoot	4639040603292994248	137.46406263959057
C/flow/press/tau0.2/min_phi_lp_bare	4604799708185174898	0.7354659814383082
C/flow/press/tau0.2/min_phi_lp_top	4604799708185174898	0.7354659814383082
C/flow/press/tau0.2/min_phi_hp_bare	4605932210771652934	0.861199026133854
C/flow/press/tau0.2/min_phi_hp_top	4605951442889144263	0.863334220098971
C/flow/press/tau0.2/relief_lp	0	0.0
C/flow/press/tau0.2/relief_hp	4567069844604092672	0.002135193965116966
C/flow/press/tau0.2/held	0	0
C/flow/press/tau0.2/top/ext_lp	13818855747550735232	-0.17529562261264786
C/flow/press/tau0.2/top/ext_hp	13816196930412884440	-0.11324931124745008
C/flow/press/tau0.2/top/s_lp	4602678819172646913	0.5000000000000001
C/flow/press/tau0.2/top/s_hp	4601958243232267635	0.46000000000000013
C/flow/press/tau0.2/top/min_phi_lp	4604799708185174898	0.7354659814383082
C/flow/press/tau0.2/top/min_phi_hp	4605951442889144263	0.863334220098971
C/flow/press/tau0.2/top/Tt4_peak	4654828497623880025	1617.4640626395906
C/flow/press/tau0.2/top/ratio	4609649822280586568	1.5478736310336263
C/flow/press/tau0.2/top/npts	126	126
C/flow/press/tau0.4/rho	4607182418800017408	1.0
C/flow/press/tau0.4/r	4602678819172646912	0.5
C/flow/press/tau0.4/Tt4_max	4654223924282785792	1480.0
C/flow/press/tau0.4/tau_gov_is_set	1	1
C/flow/press/tau0.4/tau_gov	4600877379321698714	0.4
C/flow/press/tau0.4/Tt4_peak_bare	4655171289185402739	1695.4058398939349
C/flow/press/tau0.4/Tt4_peak_top	4654972492732496139	1650.2047597314838
C/flow/press/tau0.4/overshoot	4640192564161923160	170.20475973148382
C/flow/press/tau0.4/min_phi_lp_bare	4604799708185174898	0.7354659814383082
C/flow/press/tau0.4/min_phi_lp_top	4604799708185174898	0.7354659814383082
C/flow/press/tau0.4/min_phi_hp_bare	4605932210771652934	0.861199026133854
C/flow/press/tau0.4/min_phi_hp_top	4605944905184938031	0.8626083891251762
C/flow/press/tau0.4/relief_lp	0	0.0
C/flow/press/tau0.4/relief_hp	4564142362500911616	0.001409362991322216
C/flow/press/tau0.4/held	0	0
C/flow/press/tau0.4/top/ext_lp	13818933383846133716	-0.1774504626800978
C/flow/press/tau0.4/top/ext_hp	13816455692065957344	-0.11684035056159514
C/flow/press/tau0.4/top/s_lp	4602678819172646913	0.5000000000000001
C/flow/press/tau0.4/top/s_hp	4602678819172646913	0.5000000000000001
C/flow/press/tau0.4/top/min_phi_lp	4604799708185174898	0.7354659814383082
C/flow/press/tau0.4/top/min_phi_hp	4605944905184938031	0.8626083891251762
C/flow/press/tau0.4/top/Tt4_peak	4654972492732496139	1650.2047597314838
C/flow/press/tau0.4/top/ratio	4609518629510099738	1.5187429841418578
C/flow/press/tau0.4/top/npts	126	126
C/flow/press/tau0.8/rho	4607182418800017408	1.0
C/flow/press/tau0.8/r	4602678819172646912	0.5
C/flow/press/tau0.8/Tt4_max	4654223924282785792	1480.0
C/flow/press/tau0.8/tau_gov_is_set	1	1
C/flow/press/tau0.8/tau_gov	4605380978949069210	0.8
C/flow/press/tau0.8/Tt4_peak_bare	4655171289185402739	1695.4058398939349
C/flow/press/tau0.8/Tt4_peak_top	4655063699280645461	1670.9427278086853
C/flow/press/tau0.8/overshoot	4640922216547117736	190.94272780868528
C/flow/press/tau0.8/min_phi_lp_bare	4604799708185174898	0.7354659814383082
C/flow/press/tau0.8/min_phi_lp_top	4604799708185174898	0.7354659814383082
C/flow/press/tau0.8/min_phi_hp_bare	4605932210771652934	0.861199026133854
C/flow/press/tau0.8/min_phi_hp_top	4605939955276208557	0.8620588388610507
C/flow/press/tau0.8/relief_lp	0	0.0
C/flow/press/tau0.8/relief_hp	4561069595936529408	0.0008598127271967071
C/flow/press/tau0.8/held	0	0
C/flow/press/tau0.8/top/ext_lp	13818983471239521976	-0.1788406671146754
C/flow/press/tau0.8/top/ext_hp	13816642214562722904	-0.11942887019309134
C/flow/press/tau0.8/top/s_lp	4602678819172646913	0.5000000000000001
C/flow/press/tau0.8/top/s_hp	4602678819172646913	0.5000000000000001
C/flow/press/tau0.8/top/min_phi_lp	4604799708185174898	0.7354659814383082
C/flow/press/tau0.8/top/min_phi_hp	4605939955276208557	0.8620588388610507
C/flow/press/tau0.8/top/Tt4_peak	4655063699280645461	1670.9427278086853
C/flow/press/tau0.8/top/ratio	4609422806287941040	1.4974659546349862
C/flow/press/tau0.8/top/npts	126	126
C/press/flow/taunone/rho	4607182418800017408	1.0
C/press/flow/taunone/r	4602678819172646912	0.5
C/press/flow/taunone/Tt4_max	4654223924282785792	1480.0
C/press/flow/taunone/tau_gov_is_set	0	0
C/press/flow/taunone/Tt4_peak_bare	4655204533970765364	1702.9648289311563
C/press/flow/taunone/Tt4_peak_top	4654223924282785797	1480.0000000000011
C/press/flow/taunone/overshoot	4428164333612040192	1.1368683772161603e-12
C/press/flow/taunone/min_phi_lp_bare	4604907641969987594	0.7474490387417074
C/press/flow/taunone/min_phi_lp_top	4604907641969987594	0.7474490387417074
C/press/flow/taunone/min_phi_hp_bare	4605746777289134745	0.840611773951042
C/press/flow/taunone/min_phi_hp_top	4605806866358685889	0.8472830008054403
C/press/flow/taunone/relief_lp	0	0.0
C/press/flow/taunone/relief_hp	4574341423056229376	0.006671226854398249
C/press/flow/taunone/held	1	1
C/press/flow/taunone/top/ext_lp	13818323804183529284	-0.1605312282609309
C/press/flow/taunone/top/ext_hp	13816454160862423528	-0.11681910084386227
C/press/flow/taunone/top/s_lp	4602678819172646913	0.5000000000000001
C/press/flow/taunone/top/s_hp	4599075939470750515	0.3
C/press/flow/taunone/top/min_phi_lp	4604907641969987594	0.7474490387417074
C/press/flow/taunone/top/min_phi_hp	4605806866358685889	0.8472830008054403
C/press/flow/taunone/top/Tt4_peak	4654223924282785797	1480.0000000000011
C/press/flow/taunone/top/ratio	4608867604863983121	1.3741864737984353
C/press/flow/taunone/top/npts	126	126
C/press/flow/tau0.05/rho	4607182418800017408	1.0
C/press/flow/tau0.05/r	4602678819172646912	0.5
C/press/flow/tau0.05/Tt4_max	4654223924282785792	1480.0
C/press/flow/tau0.05/tau_gov_is_set	1	1
C/press/flow/tau0.05/tau_gov	4587366580439587226	0.05
C/press/flow/tau0.05/Tt4_peak_bare	4655204533970765364	1702.9648289311563
C/press/flow/tau0.05/Tt4_peak_top	4654472987750697121	1536.6304761176364
C/press/flow/tau0.05/overshoot	4633166848282661920	56.63047611763636
C/press/flow/tau0.05/min_phi_lp_bare	4604907641969987594	0.7474490387417074
C/press/flow/tau0.05/min_phi_lp_top	4604907641969987594	0.7474490387417074
C/press/flow/tau0.05/min_phi_hp_bare	4605746777289134745	0.840611773951042
C/press/flow/tau0.05/min_phi_hp_top	4605791201813253498	0.8455438869045075
C/press/flow/tau0.05/relief_lp	0	0.0
C/press/flow/tau0.05/relief_hp	4572336361240883328	0.004932112953465517
C/press/flow/tau0.05/held	0	0
C/press/flow/tau0.05/top/ext_lp	13818402701164886548	-0.16272105939283732
C/press/flow/tau0.05/top/ext_hp	13816872737485862976	-0.12262801840526638
C/press/flow/tau0.05/top/s_lp	4602678819172646913	0.5000000000000001
C/press/flow/tau0.05/top/s_hp	4599796515411129795	0.34
C/press/flow/tau0.05/top/min_phi_lp	4604907641969987594	0.7474490387417074
C/press/flow/tau0.05/top/min_phi_hp	4605791201813253498	0.8455438869045075
C/press/flow/tau0.05/top/Tt4_peak	4654472987750697121	1536.6304761176364
C/press/flow/tau0.05/top/ratio	4608654863733890857	1.3269484536157938
C/press/flow/tau0.05/top/npts	126	126
C/press/flow/tau0.1/rho	4607182418800017408	1.0
C/press/flow/tau0.1/r	4602678819172646912	0.5
C/press/flow/tau0.1/Tt4_max	4654223924282785792	1480.0
C/press/flow/tau0.1/tau_gov_is_set	1	1
C/press/flow/tau0.1/tau_gov	4591870180066957722	0.1
C/press/flow/tau0.1/Tt4_peak_bare	4655204533970765364	1702.9648289311563
C/press/flow/tau0.1/Tt4_peak_top	4654651969576099528	1577.3262315969205
C/press/flow/tau0.1/overshoot	4636549141629889664	97.32623159692048
C/press/flow/tau0.1/min_phi_lp_bare	4604907641969987594	0.7474490387417074
C/press/flow/tau0.1/min_phi_lp_top	4604907641969987594	0.7474490387417074
C/press/flow/tau0.1/min_phi_hp_bare	4605746777289134745	0.840611773951042
C/press/flow/tau0.1/min_phi_hp_top	4605782810708419696	0.8446122871256545
C/press/flow/tau0.1/relief_lp	0	0.0
C/press/flow/tau0.1/relief_hp	4571262299822156672	0.0040005131746124745
C/press/flow/tau0.1/held	0	0
C/press/flow/tau0.1/top/ext_lp	13818497786145620768	-0.16536019776551658
C/press/flow/tau0.1/top/ext_hp	13817079932756217972	-0.12600686080407153
C/press/flow/tau0.1/top/s_lp	4602678819172646913	0.5000000000000001
C/press/flow/tau0.1/top/s_hp	4600517091351509075	0.38000000000000006
C/press/flow/tau0.1/top/min_phi_lp	4604907641969987594	0.7474490387417074
C/press/flow/tau0.1/top/min_phi_hp	4605782810708419696	0.8446122871256545
C/press/flow/tau0.1/top/Tt4_peak	4654651969576099528	1577.3262315969205
C/press/flow/tau0.1/top/ratio	4608588942798348956	1.312311065527104
C/press/flow/tau0.1/top/npts	126	126
C/press/flow/tau0.2/rho	4607182418800017408	1.0
C/press/flow/tau0.2/r	4602678819172646912	0.5
C/press/flow/tau0.2/Tt4_max	4654223924282785792	1480.0
C/press/flow/tau0.2/tau_gov_is_set	1	1
C/press/flow/tau0.2/tau_gov	4596373779694328218	0.2
C/press/flow/tau0.2/Tt4_peak_bare	4655204533970765364	1702.9648289311563
C/press/flow/tau0.2/Tt4_peak_top	4654844513859941643	1621.105733099687
C/press/flow/tau0.2/overshoot	4639168733181487192	141.1057330996871
C/press/flow/tau0.2/min_phi_lp_bare	4604907641969987594	0.7474490387417074
C/press/flow/tau0.2/min_phi_lp_top	4604907641969987594	0.7474490387417074
C/press/flow/tau0.2/min_phi_hp_bare	4605746777289134745	0.840611773951042
C/press/flow/tau0.2/min_phi_hp_top	4605773659866777144	0.8435963396170285
C/press/flow/tau0.2/relief_lp	0	0.0
C/press/flow/tau0.2/relief_hp	4569028362402766592	0.0029845656659864828
C/press/flow/tau0.2/held	0	0
C/press/flow/tau0.2/top/ext_lp	13818613125718882592	-0.1685615140126595
C/press/flow/tau0.2/top/ext_hp	13817230766823815996	-0.13019334717270137
C/press/flow/tau0.2/top/s_lp	4602678819172646913	0.5000000000000001
C/press/flow/tau0.2/top/s_hp	4601597955262077995	0.4400000000000001
C/press/flow/tau0.2/top/min_phi_lp	4604907641969987594	0.7474490387417074
C/press/flow/tau0.2/top/min_phi_hp	4605773659866777144	0.8435963396170285
C/press/flow/tau0.2/top/Tt4_peak	4654844513859941643	1621.105733099687
C/press/flow/tau0.2/top/ratio	4608509636093648489	1.2947014396139827
C/press/flow/tau0.2/top/npts	126	126
C/press/flow/tau0.4/rho	4607182418800017408	1.0
C/press/flow/tau0.4/r	4602678819172646912	0.5
C/press/flow/tau0.4/Tt4_max	4654223924282785792	1480.0
C/press/flow/tau0.4/tau_gov_is_set	1	1
C/press/flow/tau0.4/tau_gov	4600877379321698714	0.4
C/press/flow/tau0.4/Tt4_peak_bare	4655204533970765364	1702.9648289311563
C/press/flow/tau0.4/Tt4_peak_top	4654995120901463686	1655.3498096781855
C/press/flow/tau0.4/overshoot	4640373589513663536	175.34980967818547
C/press/flow/tau0.4/min_phi_lp_bare	4604907641969987594	0.7474490387417074
C/press/flow/tau0.4/min_phi_lp_top	4604907641969987594	0.7474490387417074
C/press/flow/tau0.4/min_phi_hp_bare	4605746777289134745	0.840611773951042
C/press/flow/tau0.4/min_phi_hp_top	4605764577026458652	0.8425879417719702
C/press/flow/tau0.4/relief_lp	0	0.0
C/press/flow/tau0.4/relief_hp	4566703155281232640	0.001976167820928132
C/press/flow/tau0.4/held	0	0
C/press/flow/tau0.4/top/ext_lp	13818707543794827256	-0.17118214205902382
C/press/flow/tau0.4/top/ext_hp	13817378175453387420	-0.13428475853716726
C/press/flow/tau0.4/top/s_lp	4602678819172646913	0.5000000000000001
C/press/flow/tau0.4/top/s_hp	4602318531202457275	0.48000000000000015
C/press/flow/tau0.4/top/min_phi_lp	4604907641969987594	0.7474490387417074
C/press/flow/tau0.4/top/min_phi_hp	4605764577026458652	0.8425879417719702
C/press/flow/tau0.4/top/Tt4_peak	4654995120901463686	1655.3498096781855
C/press/flow/tau0.4/top/ratio	4608419871542161534	1.274769705242789
C/press/flow/tau0.4/top/npts	126	126
C/press/flow/tau0.8/rho	4607182418800017408	1.0
C/press/flow/tau0.8/r	4602678819172646912	0.5
C/press/flow/tau0.8/Tt4_max	4654223924282785792	1480.0
C/press/flow/tau0.8/tau_gov_is_set	1	1
C/press/flow/tau0.8/tau_gov	4605380978949069210	0.8
C/press/flow/tau0.8/Tt4_peak_bare	4655204533970765364	1702.9648289311563
C/press/flow/tau0.8/Tt4_peak_top	4655090998042507843	1677.1497476283846
C/press/flow/tau0.8/overshoot	4641140606642016792	197.1497476283846
C/press/flow/tau0.8/min_phi_lp_bare	4604907641969987594	0.7474490387417074
C/press/flow/tau0.8/min_phi_lp_top	4604907641969987594	0.7474490387417074
C/press/flow/tau0.8/min_phi_hp_bare	4605746777289134745	0.840611773951042
C/press/flow/tau0.8/min_phi_hp_top	4605757552508753917	0.8418080636427018
C/press/flow/tau0.8/relief_lp	0	0.0
C/press/flow/tau0.8/relief_hp	4563159735343958016	0.0011962896916597465
C/press/flow/tau0.8/held	0	0
C/press/flow/tau0.8/top/ext_lp	13818768602034492040	-0.17287684864699693
C/press/flow/tau0.8/top/ext_hp	13817490183878109508	-0.13739361683912865
C/press/flow/tau0.8/top/s_lp	4602678819172646913	0.5000000000000001
C/press/flow/tau0.8/top/s_hp	4602678819172646913	0.5000000000000001
C/press/flow/tau0.8/top/min_phi_lp	4604907641969987594	0.7474490387417074
C/press/flow/tau0.8/top/min_phi_hp	4605757552508753917	0.8418080636427018
C/press/flow/tau0.8/top/Tt4_peak	4655090998042507843	1677.1497476283846
C/press/flow/tau0.8/top/ratio	4608345517008101745	1.2582596821030985
C/press/flow/tau0.8/top/npts	126	126
C/tilted/taunone/rho	4607182418800017408	1.0
C/tilted/taunone/r	4602678819172646912	0.5
C/tilted/taunone/Tt4_max	4654223924282785792	1480.0
C/tilted/taunone/tau_gov_is_set	0	0
C/tilted/taunone/Tt4_peak_bare	4655202117448282611	1702.4153753324615
