# phase-6Q combustor-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
A/tilt/0.85/0/tt3	4648557001678115300	607.7454894618681
A/tilt/0.85/0/eta_c	4605406649466945222	0.8028500000000001
A/tilt/0.85/1/pi_c	4620722951941279218	8.052818654606174
A/tilt/0.85/1/flowcoef	4604429825547308930	0.6944007593415196
A/tilt/0.85/1/tau_c	4611372357507120973	1.9303532848789076
A/tilt/0.85/1/tt3	4648073747533489586	552.8058539435062
A/tilt/0.85/1/eta_c	4605938748694749235	0.8619248814093282
A/tilt/0.85/2/pi_c	4617689482277712779	5.332147035308377
A/tilt/0.85/2/flowcoef	4607582345286468277	1.088801518683039
A/tilt/0.85/2/tau_c	4610298305716531184	1.6918658793683754
A/tilt/0.85/2/tt3	4647231187042155077	484.5089080472574
A/tilt/0.85/2/eta_c	4606078543425661083	0.8774452143072894
A/tilt/0.85/3/pi_c	4613566995283345333	2.8353215257083897
A/tilt/0.85/3/flowcoef	4609358568399273385	1.4832022780245586
A/tilt/0.85/3/tau_c	4609014194121061879	1.406735827472742
A/tilt/0.85/3/tt3	4645794710174462060	402.85465177312176
A/tilt/0.85/3/eta_c	4605826033659680769	0.8494109986938839
A/tilt/0.85/4/pi_c	4608168748255658896	1.2190091343038354
A/tilt/0.85/4/flowcoef	4611134791512078493	1.8776030373660781
A/tilt/0.85/4/tau_c	4607520022720713056	1.0749631291920068
A/tilt/0.85/4/tt3	4644123249017548248	307.8430851210992
A/tilt/0.85/4/eta_c	4605181219396808291	0.7778222345691116
A/tilt/1.0/m_lo	4599075939470750515	0.3
A/tilt/1.0/pic_max	4625929328785195161	18.6024035395827
A/tilt/1.0/m_hi	4611134791512078494	1.8776030373660784
A/tilt/1.0/pic_min	4608575022309011093	1.309220095971715
A/tilt/1.0/ceiling_is_the_literal	0	0
A/tilt/1.0/0/pi_c	4625929328785195161	18.6024035395827
A/tilt/1.0/0/flowcoef	4599075939470750515	0.3
A/tilt/1.0/0/tau_c	4612931748504923304	2.553215285819153
A/tilt/1.0/0/tt3	4649642727811378966	731.1782601843322
A/tilt/1.0/0/eta_c	4605483661020573257	0.8114
A/tilt/1.0/1/pi_c	4624347888045471514	14.491998695677058
A/tilt/1.0/1/flowcoef	4604429825547308930	0.6944007593415196
A/tilt/1.0/1/tau_c	4612333830175712044	2.287686207444855
A/tilt/1.0/1/tt3	4648973863943384899	655.1372421658383
A/tilt/1.0/1/eta_c	4605983788232346778	0.8669252745752545
A/tilt/1.0/2/pi_c	4621092495558104099	8.709259985809757
A/tilt/1.0/2/flowcoef	4607582345286468277	1.088801518683039
A/tilt/1.0/2/tau_c	4611495065051247548	1.9575998330358138
A/tilt/1.0/2/tt3	4648142381190116923	560.6085973267394
A/tilt/1.0/2/eta_c	4606091610947228134	0.878896000639142
A/tilt/1.0/3/pi_c	4616071077278387476	3.9473573202864234
A/tilt/1.0/3/flowcoef	4609358568399273386	1.4832022780245588
A/tilt/1.0/3/tau_c	4609717747964092800	1.5629561625920303
A/tilt/1.0/3/tt3	4646581743656798214	447.5923256670361
A/tilt/1.0/3/eta_c	4605807129165217328	0.8473121781916628
A/tilt/1.0/4/pi_c	4608575022309011093	1.309220095971715
A/tilt/1.0/4/flowcoef	4611134791512078494	1.8776030373660784
A/tilt/1.0/4/tau_c	4607649690662571937	1.103755196113504
A/tilt/1.0/4/tt3	4644268302609166639	316.088427186728
A/tilt/1.0/4/eta_c	4605130342886314357	0.7721738072328167
A/tilt/1.3/m_lo	4600697235336603894	0.39
A/tilt/1.3/pic_max	4634347635243023505	66.0409441785762
A/tilt/1.3/m_hi	4612678800820647936	2.4408839485759017
A/tilt/1.3/pic_min	4609608689419366781	1.5387403011146426
A/tilt/1.3/ceiling_is_the_literal	0	0
A/tilt/1.3/0/pi_c	4634347635243023505	66.0409441785762
A/tilt/1.3/0/flowcoef	4599075939470750515	0.3
A/tilt/1.3/0/tau_c	4615345044129865552	3.624933833034369
A/tilt/1.3/0/tt3	4652280393121743333	1038.092176575324
