# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# cpython 3.14.3
eq/flat/900/m	4603708388800468889	0.6143051906262712
eq/flat/900/thrust	4642059406628997225	223.26361388300145
eq/flat/900/Tt2	4643745586963694955	286.3754828060834
eq/flat/900/pt2	4680086807681088516	77858.48677323764
eq/flat/900/V0	4643453651052699634	269.7808475368648
eq/flat/700/branch	0	0
eq/flat/700/nu	4604308702550663097	0.6809534053727396
eq/flat/700/n	4604308702550663097	0.6809534053727396
eq/flat/700/pi_c	4614973442133799351	3.4599093962226237
eq/flat/700/tau_c	4609349146933144102	1.4811102923000674
eq/flat/700/mdot_air	4602899681148509118	0.5245206050866427
eq/flat/700/f	4575092915458584180	0.007323042610589792
eq/flat/700/pi_t	4601286440274567290	0.42270744441749
eq/flat/700/tau_t	4605552598053341200	0.8190535481028309
eq/flat/700/Tt3	4646169406554451521	424.1536750464912
eq/flat/700/Tt5	4648254345658478787	573.3374836719817
eq/flat/700/flowcoef	4605113229643994743	0.7702738556678942
eq/flat/700/Phi	0	0.0
eq/flat/700/sp_thrust	4641593396437605672	210.01880763166378
eq/flat/700/M9	4607182418800017538	1.0000000000000289
eq/flat/700/pt9_over_p0	4612007089365291579	2.1425841391194616
eq/flat/700/eta_c	4606101554889448489	0.88
eq/flat/700/eta_t	4606281698874543309	0.9
eq/flat/700/nu_t	4607153719313854592	0.9968137169667131
eq/flat/700/p_net_spec	0	0.0
eq/flat/700/m	4602899681148509118	0.5245206050866427
eq/flat/700/thrust	4637452180941655128	110.1591920585355
eq/flat/700/Tt2	4643745586963694955	286.3754828060834
eq/flat/700/pt2	4680086807681088516	77858.48677323764
eq/flat/700/V0	4643453651052699634	269.7808475368648
eq/flat/520/branch	1	1
eq/flat/520/nu	4603399355079703778	0.5799955554083704
eq/flat/520/n	4603399355079703778	0.5799955554083704
eq/flat/520/pi_c	4612945806269462737	2.559458187365728
eq/flat/520/tau_c	4608754297254484889	1.3490271304124006
eq/flat/520/mdot_air	4601850032835220252	0.4539931162847084
eq/flat/520/f	4570208698880456394	0.0034964550153365513
eq/flat/520/pi_t	4601419780084187497	0.4301092907544644
eq/flat/520/tau_t	4605529695880436913	0.8165108961356023
eq/flat/520/Tt3	4645503975445377006	386.3282957903565
eq/flat/520/Tt5	4646177006219508260	424.58566599051323
eq/flat/520/flowcoef	4605225629536397792	0.7827527505190197
eq/flat/520/Phi	4426184617696563040	8.232813168815842e-13
eq/flat/520/sp_thrust	4633899305753331520	61.83489946801137
eq/flat/520/M9	4605923845966824286	0.860270346242128
eq/flat/520/pt9_over_p0	4609941883665254817	1.6127242858061452
eq/flat/520/eta_c	4606101554889448489	0.88
eq/flat/520/eta_t	4606281698874543309	0.9
eq/flat/520/nu_t	4607047972578612626	0.985073470942256
eq/flat/520/p_net_spec	4509631823038382080	3.1934177968651056e-07
eq/flat/520/m	4601850032835220253	0.45399311628470845
eq/flat/520/thrust	4628594957378222917	28.07261870463414
eq/flat/520/Tt2	4643745586963694955	286.3754828060834
eq/flat/520/pt2	4680086807681088516	77858.48677323764
eq/flat/520/V0	4643453651052699634	269.7808475368648
eq/flow_dom/1500/branch	0	0
eq/flow_dom/1500/nu	4607182418800026578	1.0000000000020361
eq/flow_dom/1500/n	4607182418800026578	1.0000000000020361
eq/flow_dom/1500/pi_c	4621819117589011366	10.00000000007078
eq/flow_dom/1500/tau_c	4611770577926484820	2.0375519611392665
eq/flow_dom/1500/mdot_air	4607182418800049421	1.0000000000071083
eq/flow_dom/1500/f	4583515894746788908	0.027265250260189486
eq/flow_dom/1500/pi_t	4601396903998823232	0.42883941292022953
eq/flow_dom/1500/tau_t	4605762360027397713	0.8423418054316675
eq/flow_dom/1500/Tt3	4648343779432392482	583.5049266137396
eq/flow_dom/1500/Tt5	4653271803104155556	1263.5127081475011
eq/flow_dom/1500/flowcoef	4607182418800040251	1.0000000000050722
