# slice S oracle (gas) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
T/tpg/2/mf	4581983078020450352	0.021947223941090666
T/tpg/2/eqf/M9	4607182418800016903	0.9999999999999439
T/tpg/2/eqf/Pc_hp	4688817591241054325	295344.4360603162
T/tpg/2/eqf/Pc_lp	4682553496797180736	113753.53768534679
T/tpg/2/eqf/Phi_hp	4422348442727650114	4.4533699253600257e-13
T/tpg/2/eqf/Phi_lp	4409829589564244206	6.701094443460368e-14
T/tpg/2/eqf/Pt_hp	4688817591241056736	295344.43606045656
T/tpg/2/eqf/Pt_lp	4682553496797181292	113753.53768535488
T/tpg/2/eqf/Tt2	4643745586963694955	286.3754828060834
T/tpg/2/eqf/Tt25	4645729973763861126	399.1748128697876
T/tpg/2/eqf/Tt3	4649220906152730291	683.2226897300774
T/tpg/2/eqf/Tt4	4654091982887318395	1449.999999969469
T/tpg/2/eqf/Tt45	4653070536586619531	1217.7500003116754
T/tpg/2/eqf/Tt5	4652668950466378084	1126.43988814539
T/tpg/2/eqf/branch_choked	1	1
T/tpg/2/eqf/eta_hpc	4606101229051328557	0.8799638247016951
T/tpg/2/eqf/eta_hpt	4606461842859638129	0.92
T/tpg/2/eqf/eta_lpc	4606280397032081833	0.8998554664524835
T/tpg/2/eqf/eta_lpt	4606281698874543309	0.9
T/tpg/2/eqf/f	4582306255644331772	0.02306847156320567
T/tpg/2/eqf/m_hp	4606990566047832104	0.9787000657186171
T/tpg/2/eqf/m_imp	4606744622099068984	0.9513948022502126
T/tpg/2/eqf/m_lp	4606744622099068968	0.9513948022502108
T/tpg/2/eqf/mdot4	4606942305118194810	0.9733420261913033
T/tpg/2/eqf/mdot_air	4606744622099068984	0.9513948022502126
T/tpg/2/eqf/mdot_air_face	4606744622099068967	0.9513948022502107
T/tpg/2/eqf/n_hp	4607049548482576533	0.9852484314287887
T/tpg/2/eqf/n_lp	4606952203062244453	0.9744409187293398
T/tpg/2/eqf/nu_hp	4607004686063200095	0.9802677023355776
T/tpg/2/eqf/nu_hpt	4607155628048739911	0.9970256291084717
T/tpg/2/eqf/nu_lp	4606952203062244453	0.9744409187293398
T/tpg/2/eqf/nu_lpt	4607106912083861439	0.9916170705209807
T/tpg/2/eqf/phi_hp	4607122553254574322	0.9933535893067342
T/tpg/2/eqf/phi_lp	4606969393095548667	0.976349395806181
T/tpg/2/eqf/pi_hpc	4618207900640701240	5.792595037690994
T/tpg/2/eqf/pi_hpt	4601477184103456338	0.4332958539493791
T/tpg/2/eqf/pi_lpc	4613716148025327060	2.901558649042025
T/tpg/2/eqf/pi_lpt	4604379963835191530	0.6888649972575227
T/tpg/2/eqf/pt4	4698146434433605196	1256266.3093089042
T/tpg/2/eqf/slip	4607128879342550232	0.9940559261594002
T/tpg/2/eqf/sp_thrust	4649405243677726811	704.1794400203611
T/tpg/2/eqf/tau_hpc	4610387124786315882	1.7115876746285275
T/tpg/2/eqf/tau_hpt	4605739713955965463	0.8398275864395285
T/tpg/2/eqf/tau_lpc	4608956324219101518	1.3938861279549033
T/tpg/2/eqf/tau_lpt	4606507035204005104	0.9250173581253005
T/tpg/2/eqf/passes	7	7
T/tpg/3/mf	4582664797507450333	0.02431241353735013
T/tpg/3/eqf/M9	4607182418800017687	1.000000000000062
T/tpg/3/eqf/Pc_hp	4688998029257807006	305847.3109553548
T/tpg/3/eqf/Pc_lp	4682837332673780548	117883.89330039645
T/tpg/3/eqf/Phi_hp	13638653605234691880	-1.5796234534844536e-13
T/tpg/3/eqf/Phi_lp	4421843202639652274	4.198288867329997e-13
T/tpg/3/eqf/Pt_hp	4688998029257806176	305847.3109553065
T/tpg/3/eqf/Pt_lp	4682837332673783949	117883.89330044594
T/tpg/3/eqf/Tt2	4643745586963694955	286.3754828060834
T/tpg/3/eqf/Tt25	4645801516094567903	403.2415235404314
T/tpg/3/eqf/Tt3	4649341121304698858	696.8895702036073
T/tpg/3/eqf/Tt4	4654311885213007557	1499.9999999999284
T/tpg/3/eqf/Tt45	4653261007701499227	1261.058117767642
T/tpg/3/eqf/Tt5	4652847730654192218	1167.0897965451209
T/tpg/3/eqf/branch_choked	1	1
T/tpg/3/eqf/eta_hpc	4606101554889448489	0.88
T/tpg/3/eqf/eta_hpt	4606461842859638129	0.92
T/tpg/3/eqf/eta_lpc	4606281698874543309	0.9
T/tpg/3/eqf/eta_lpt	4606281698874543309	0.9
T/tpg/3/eqf/f	4582664797507589324	0.024312413537832353
T/tpg/3/eqf/m_hp	4607182418800119178	1.0000000000225975
T/tpg/3/eqf/m_imp	4607182418799838762	0.9999999999801663
T/tpg/3/eqf/m_lp	4607182418799838757	0.9999999999801658
T/tpg/3/eqf/mdot4	4607291912176475372	1.0243124135175163
T/tpg/3/eqf/mdot_air	4607182418799838761	0.9999999999801662
T/tpg/3/eqf/mdot_air_face	4607182418799838756	0.9999999999801656
T/tpg/3/eqf/n_hp	4607182418800093423	1.0000000000168787
T/tpg/3/eqf/n_lp	4607182418799665024	0.9999999999608775
T/tpg/3/eqf/nu_hp	4607182418800033548	1.0000000000035838
T/tpg/3/eqf/nu_hpt	4607182418800033655	1.0000000000036076
T/tpg/3/eqf/nu_lp	4607182418799665024	0.9999999999608775
T/tpg/3/eqf/nu_lpt	4607182418799664502	0.9999999999608196
T/tpg/3/eqf/phi_hp	4607182418800043163	1.0000000000057188
T/tpg/3/eqf/phi_lp	4607182418800104275	1.0000000000192883
T/tpg/3/eqf/pi_hpc	4618441417868687701	6.000000000216763
T/tpg/3/eqf/pi_hpt	4601481895579678495	0.4335573934184697
T/tpg/3/eqf/pi_lpc	4613937818240696696	2.99999999983282
T/tpg/3/eqf/pi_lpt	4604381750106741525	0.6890633132378264
T/tpg/3/eqf/pt4	4698529237748098338	1345394.6514151772
T/tpg/3/eqf/slip	4607182418799632744	0.9999999999572937
T/tpg/3/eqf/sp_thrust	4649643485346719000	731.264381981603
T/tpg/3/eqf/tau_hpc	4610462024585451244	1.7282187709365031
T/tpg/3/eqf/tau_hpt	4605747620704304633	0.8407054118451348
T/tpg/3/eqf/tau_lpc	4609020278145888388	1.4080867523616982
T/tpg/3/eqf/tau_lpt	4606511243236449364	0.9254845435760992
T/tpg/3/eqf/passes	5	5
census/T/tpg/eqf/close_calls	71	71
census/T/tpg/eqf/eq_calls	4	4
census/T/tpg/eqf/eq_passes	21	21
census/T/tpg/eqf/hi_wall_hi0	0	0
census/T/tpg/eqf/hi_wall_literal	0	0
census/T/tpg/eqf/hi_wall_map	71	71
census/T/tpg/eqf/illinois_calls	115	115
census/T/tpg/eqf/illinois_evals	836	836
census/T/tpg/eqf/illinois_exhausted	0	0
census/T/tpg/eqf/instant_calls	71	71
census/T/tpg/eqf/interp_high	0	0
census/T/tpg/eqf/interp_low	0	0
census/T/tpg/eqf/interp_mid	0	0
census/T/tpg/eqf/lo_floor_hits	0	0
census/T/tpg/eqf/march_calls	0	0
census/T/tpg/eqf/march_points	0	0
census/T/tpg/eqf/rw_calls	0	0
census/T/tpg/eqf/rw_interior	0	0
census/T/tpg/eqf/rw_one	0	0
census/T/tpg/eqf/rw_zero	0	0
census/T/tpg/eqf/sched_calls	0	0
census/T/tpg/eqf/sched_dormant	0	0
census/T/tpg/eqf/surge_calls	0	0
census/T/tpg/eqf/surge_dormant	0	0
census/T/tpg/eqf/topping_calls	0	0
T/tpg/npts	51	51
T/tpg/at/0/Tt4	4653432275910787058	1299.9999999999968
T/tpg/at/0/branch_choked	1	1
T/tpg/at/0/f	4581250064392237531	0.019404072042947234
T/tpg/at/0/mdot_air	4605516104319549897	0.8150019297518664
T/tpg/at/0/mf	4580215399233031282	0.015814356160046512
T/tpg/at/0/mf_sched	4580215399233031282	0.015814356160046512
T/tpg/at/0/nu_hp	4606464385204731659	0.920282257005938
T/tpg/at/0/nu_lp	4606277176935124192	0.8994979638740936
T/tpg/at/0/phi_hp	4606947771828421232	0.973948952947536
T/tpg/at/0/phi_lp	4606336310586168580	0.9060631179660565
T/tpg/at/0/pi_hpc	4617516175115527462	5.1782193538759085
T/tpg/at/0/pi_lpc	4613078612089793701	2.6184358191799952
T/tpg/at/0/s	0	0.0
T/tpg/at/0/sp_thrust	4648651378051438081	618.4748409005698
T/tpg/at/10/Tt4	4653884934084667256	1402.922552714559
T/tpg/at/10/branch_choked	1	1
T/tpg/at/10/f	4582123536787435407	0.022434538182082128
T/tpg/at/10/mdot_air	4605509404030211874	0.814258048202394
T/tpg/at/10/mf	4580922470747998910	0.018267503272464174
T/tpg/at/10/mf_sched	4580922470747998910	0.018267503272464174
T/tpg/at/10/nu_hp	4606505683942617713	0.9248673379748437
T/tpg/at/10/nu_lp	4606327054434463074	0.9050354786917689
