# phase-4H turbine/throat oracle — key	u64 bits	repr
# pypy 3.11.15
throat/bisect/1/2/gap	13669621137720475648	-1.8417267710901797e-11
throat/cpg/1/3/Tstar	4651624958589173913	956.5318089462991
throat/cpg/1/3/pstar	4697154372943032651	1036929.9969573406
throat/cpg/1/3/Vstar	4648455887131224936	596.2500963782486
throat/bisect/1/3/Tstar	4651624958589173751	956.5318089462806
throat/bisect/1/3/gap	13669621137720475648	-1.8417267710901797e-11
throat/cpg/2/0/Tstar	4652541244253616863	1097.4028571729357
throat/cpg/2/0/pstar	4679233734021449046	65490.3155973057
throat/cpg/2/0/Vstar	4648828826148271349	638.6483538892631
throat/bisect/2/0/Tstar	4652541244253616770	1097.4028571729145
throat/bisect/2/0/gap	13670465562650607616	-2.114575181622058e-11
throat/cpg/2/1/Tstar	4652541244253616863	1097.4028571729357
throat/cpg/2/1/pstar	4685615664815035336	185555.89419236616
throat/cpg/2/1/Vstar	4648828826148271349	638.6483538892631
throat/bisect/2/1/Tstar	4652541244253616770	1097.4028571729145
throat/bisect/2/1/gap	13670465562650607616	-2.114575181622058e-11
throat/cpg/2/2/Tstar	4652541244253616863	1097.4028571729357
throat/cpg/2/2/pstar	4690588062381897742	398399.41988360963
throat/cpg/2/2/Vstar	4648828826148271349	638.6483538892631
throat/bisect/2/2/Tstar	4652541244253616770	1097.4028571729145
throat/bisect/2/2/gap	13670465562650607616	-2.114575181622058e-11
throat/cpg/2/3/Tstar	4652541244253616863	1097.4028571729357
throat/cpg/2/3/pstar	4697154372943032647	1036929.9969573402
throat/cpg/2/3/Vstar	4648828826148271349	638.6483538892631
throat/bisect/2/3/Tstar	4652541244253616770	1097.4028571729145
throat/bisect/2/3/gap	13670465562650607616	-2.114575181622058e-11
throat/cpg/3/0/Tstar	4653451458244210420	1304.3615576540442
throat/cpg/3/0/pstar	4679233734021449051	65490.31559730574
throat/cpg/3/0/Vstar	4649335672437565137	696.2701057300093
throat/bisect/3/0/Tstar	4653451458244210310	1304.3615576540192
throat/bisect/3/0/gap	13671661831301627904	-2.5011104298755527e-11
throat/cpg/3/1/Tstar	4653451458244210420	1304.3615576540442
throat/cpg/3/1/pstar	4685615664815035339	185555.89419236625
throat/cpg/3/1/Vstar	4649335672437565137	696.2701057300093
throat/bisect/3/1/Tstar	4653451458244210310	1304.3615576540192
throat/bisect/3/1/gap	13671661831301627904	-2.5011104298755527e-11
throat/cpg/3/2/Tstar	4653451458244210420	1304.3615576540442
throat/cpg/3/2/pstar	4690588062381897746	398399.41988360987
throat/cpg/3/2/Vstar	4649335672437565137	696.2701057300093
throat/bisect/3/2/Tstar	4653451458244210310	1304.3615576540192
throat/bisect/3/2/gap	13671661831301627904	-2.5011104298755527e-11
throat/cpg/3/3/Tstar	4653451458244210420	1304.3615576540442
throat/cpg/3/3/pstar	4697154372943032653	1036929.9969573409
throat/cpg/3/3/Vstar	4649335672437565137	696.2701057300093
throat/bisect/3/3/Tstar	4653451458244210310	1304.3615576540192
throat/bisect/3/3/gap	13671661831301627904	-2.5011104298755527e-11
throat/cpg/4/0/Tstar	4654598786803782129	1565.233869184853
throat/cpg/4/0/pstar	4679233734021449046	65490.3155973057
throat/cpg/4/0/Vstar	4649920221903901659	762.7256860496667
throat/bisect/4/0/Tstar	4654598786803781997	1565.2338691848229
throat/bisect/4/0/gap	13673069206185181184	-3.001332515850663e-11
throat/cpg/4/1/Tstar	4654598786803782129	1565.233869184853
throat/cpg/4/1/pstar	4685615664815035336	185555.89419236616
throat/cpg/4/1/Vstar	4649920221903901659	762.7256860496667
throat/bisect/4/1/Tstar	4654598786803781997	1565.2338691848229
throat/bisect/4/1/gap	13673069206185181184	-3.001332515850663e-11
throat/cpg/4/2/Tstar	4654598786803782129	1565.233869184853
throat/cpg/4/2/pstar	4690588062381897743	398399.4198836097
throat/cpg/4/2/Vstar	4649920221903901659	762.7256860496667
throat/bisect/4/2/Tstar	4654598786803781997	1565.2338691848229
throat/bisect/4/2/gap	13673069206185181184	-3.001332515850663e-11
throat/cpg/4/3/Tstar	4654598786803782129	1565.233869184853
throat/cpg/4/3/pstar	4697154372943032648	1036929.9969573403
throat/cpg/4/3/Vstar	4649920221903901659	762.7256860496667
throat/bisect/4/3/Tstar	4654598786803781997	1565.2338691848229
throat/bisect/4/3/gap	13673069206185181184	-3.001332515850663e-11
throat/cpg/5/0/Tstar	4655363672510163269	1739.1487435387255
throat/cpg/5/0/pstar	4679233734021449048	65490.315597305715
throat/cpg/5/0/Vstar	4650283129173740416	803.9834659438202
throat/bisect/5/0/Tstar	4655363672510163122	1739.148743538692
throat/bisect/5/0/gap	13673596971766513664	-3.342393029015511e-11
throat/cpg/5/1/Tstar	4655363672510163269	1739.1487435387255
throat/cpg/5/1/pstar	4685615664815035337	185555.8941923662
throat/cpg/5/1/Vstar	4650283129173740416	803.9834659438202
throat/bisect/5/1/Tstar	4655363672510163122	1739.148743538692
throat/bisect/5/1/gap	13673596971766513664	-3.342393029015511e-11
throat/cpg/5/2/Tstar	4655363672510163269	1739.1487435387255
throat/cpg/5/2/pstar	4690588062381897745	398399.4198836098
throat/cpg/5/2/Vstar	4650283129173740416	803.9834659438202
throat/bisect/5/2/Tstar	4655363672510163122	1739.148743538692
throat/bisect/5/2/gap	13673596971766513664	-3.342393029015511e-11
throat/cpg/5/3/Tstar	4655363672510163269	1739.1487435387255
throat/cpg/5/3/pstar	4697154372943032650	1036929.9969573405
throat/cpg/5/3/Vstar	4650283129173740416	803.9834659438202
throat/bisect/5/3/Tstar	4655363672510163122	1739.148743538692
throat/bisect/5/3/gap	13673596971766513664	-3.342393029015511e-11
throat/react/cold/Tstar	4651175218656292907	905.4022981799257
throat/react/cold/pstar	4684222097795749855	144997.75593298578
throat/react/cold/Vstar	4648383131880985063	587.9787820508326
throat/react/cold/T_ratio	4605925288698535168	0.8604305216385058
throat/react/cold/p_ratio	4603041731169788092	0.5402913255138837
throat/react/dp/Tstar	4652529394908656826	1094.7086280577773
throat/react/dp/pstar	4685110401077745593	170850.78404634984
throat/react/dp/Vstar	4648859063097412301	642.0858970194473
throat/react/dp/T_ratio	4605984142370719488	0.8669645918327831
throat/react/dp/p_ratio	4603071866478889412	0.5436370169157319
throat/react/warm/Tstar	4653779261173343835	1378.895314472166
throat/react/warm/pstar	4686202343882835022	202630.5023141228
throat/react/warm/Vstar	4649499261473643931	714.8680259277347
throat/react/warm/T_ratio	4606054918958765823	0.8748223715981281
throat/react/warm/p_ratio	4603106961170914222	0.5475333104285391
throat/react/hot/Tstar	4655450827545131887	1758.9655041729236
throat/react/hot/pstar	4687338784995243549	235705.29177372242
throat/react/hot/Vstar	4650257778466893004	801.1014242483302
throat/react/hot/T_ratio	4606129501158607616	0.8831026591472835
throat/react/hot/p_ratio	4603144035529533313	0.5516493910847516
throat/react/vhot/Tstar	4655870389205157974	1854.3627808881188
throat/react/vhot/pstar	4687585489181626673	242885.3285871833
throat/react/vhot/Vstar	4650438332587627927	821.6280512722905
throat/react/vhot/T_ratio	4606145402556411649	0.8848680689438596
throat/react/vhot/p_ratio	4603151934052061514	0.5525263032418846
nozzle/cold/design/M9	4607182418800016630	0.9999999999999136
nozzle/cold/design/T9	4651175218656292907	905.4022981799257
nozzle/cold/design/V9	4648383131880985063	587.9787820508326
nozzle/cold/design/p9	4684222097795749855	144997.75593298578
nozzle/cold/sub/M9	4603481506771858857	0.5891162254226191
nozzle/cold/sub/T9	4651980269224319151	996.9259514648201
nozzle/cold/sub/V9	4645083211825859245	362.41065312471875
nozzle/cold/sub/p9	4686616899672937090	214695.66374411067
nozzle/cold/sub/ref_V9	4645083211825859245	362.41065312471875
nozzle/cold/deep/M9	4607182418800016630	0.9999999999999136
nozzle/cold/deep/T9	4651175218656292907	905.4022981799257
nozzle/cold/deep/V9	4648383131880985063	587.9787820508326
nozzle/cold/deep/p9	4684222097795749855	144997.75593298578
nozzle/dp/design/M9	4607182418800017086	0.9999999999999643
nozzle/dp/design/T9	4652529394908656826	1094.7086280577773
nozzle/dp/design/V9	4648859063097412301	642.0858970194473
nozzle/dp/design/p9	4685110401077745593	170850.78404634984
nozzle/dp/sub/M9	4603512533974043272	0.5925609368481028
nozzle/dp/sub/T9	4652987410662453813	1198.8493534095007
nozzle/dp/sub/V9	4645696083902796865	397.24839730217724
nozzle/dp/sub/p9	4687878700870052189	251418.91185505214
nozzle/dp/sub/ref_V9	4645696083902796865	397.24839730217724
nozzle/dp/deep/M9	4607182418800017086	0.9999999999999643
nozzle/dp/deep/T9	4652529394908656826	1094.7086280577773
nozzle/dp/deep/V9	4648859063097412301	642.0858970194473
nozzle/dp/deep/p9	4685110401077745593	170850.78404634984
nozzle/warm/design/M9	4607182418800016541	0.9999999999999037
nozzle/warm/design/T9	4653779261173343835	1378.895314472166
nozzle/warm/design/V9	4649499261473643931	714.8680259277347
nozzle/warm/design/p9	4686202343882835022	202630.5023141228
nozzle/warm/sub/M9	4603550748942746424	0.5968036506620598
nozzle/warm/sub/T9	4654314024845326208	1500.4864960643172
nozzle/warm/sub/V9	4646522317692785093	444.21435070343097
nozzle/warm/sub/p9	4688829937561730854	296063.08650778455
nozzle/warm/sub/ref_V9	4646522317692785093	444.21435070343097
nozzle/warm/deep/M9	4607182418800016541	0.9999999999999037
nozzle/warm/deep/T9	4653779261173343835	1378.895314472166
nozzle/warm/deep/V9	4649499261473643931	714.8680259277347
nozzle/warm/deep/p9	4686202343882835022	202630.5023141228
nozzle/hot/design/M9	4607182418800017926	1.000000000000115
nozzle/hot/design/T9	4655450827545131887	1758.9655041729236
nozzle/hot/design/V9	4650257778466893004	801.1014242483302
nozzle/hot/design/p9	4687338784995243549	235705.29177372242
nozzle/hot/sub/M9	4603591150003018760	0.6012890693954214
nozzle/hot/sub/T9	4656077692630216701	1901.4981225756922
nozzle/hot/sub/V9	4647506061979001659	500.13373921676583
nozzle/hot/sub/p9	4689616017864965028	341818.982249195
nozzle/hot/sub/ref_V9	4647506061979001659	500.13373921676583
nozzle/hot/deep/M9	4607182418800017926	1.000000000000115
nozzle/hot/deep/T9	4655450827545131887	1758.9655041729236
nozzle/hot/deep/V9	4650257778466893004	801.1014242483302
nozzle/hot/deep/p9	4687338784995243549	235705.29177372242
nozzle/vhot/design/M9	4607182418800016671	0.9999999999999182
nozzle/vhot/design/T9	4655870389205157974	1854.3627808881188
nozzle/vhot/design/V9	4650438332587627927	821.6280512722905
nozzle/vhot/design/p9	4687585489181626673	242885.3285871833
nozzle/vhot/sub/M9	4603599791849685361	0.6022485071098754
nozzle/vhot/sub/T9	4656519022717565441	2001.8449666198578
nozzle/vhot/sub/V9	4647727694136550271	513.4641375626524
nozzle/vhot/sub/p9	4689785298658146991	351672.4212578935
nozzle/vhot/sub/ref_V9	4647727694136550271	513.4641375626524
nozzle/vhot/deep/M9	4607182418800016671	0.9999999999999182
nozzle/vhot/deep/T9	4655870389205157974	1854.3627808881188
nozzle/vhot/deep/V9	4650438332587627927	821.6280512722905
nozzle/vhot/deep/p9	4687585489181626673	242885.3285871833
census/choked_cells	4621819117588971520	10.0
roots/throat_cpg_tstar_distinct	4618441417868443648	6.0
roots/throat_bisect_tstar_distinct	4618441417868443648	6.0
roots/throat_react_tstar_distinct	4617315517961601024	5.0
roots/t5_distinct	4621819117588971520	10.0
