cb/cpg/flow_press/1100/0.10/hp/m_phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1100/0.10/hp/m_phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.10/hp/m_phi/goal	0x1.9c82e2cb10c88p-2
cb/cpg/flow_press/1100/0.10/hp/m_phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.10/hp/m_phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1100/0.10/hp/m_phi/resid_last	-0x1.7b803e8017b40p-7
cb/cpg/flow_press/1100/0.20/lp/phi/feasible	0x1.3800000000000p+5
cb/cpg/flow_press/1100/0.20/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.20/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.20/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.20/lp/phi/b_star	0x1.f5ebee0b851ebp-4
cb/cpg/flow_press/1100/0.20/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.20/lp/phi/resid	0x1.937c000000000p-39
cb/cpg/flow_press/1100/0.20/lp/phi/bare_phi	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.20/lp/phi/bare_m_phi	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.20/lp/phi/bare_m_i	0x1.2ee90f21c1008p-1
cb/cpg/flow_press/1100/0.20/lp/m_phi/feasible	0x1.1000000000000p+5
cb/cpg/flow_press/1100/0.20/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.20/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.20/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.20/lp/m_phi/b_star	0x1.4c3c958a3d709p-5
cb/cpg/flow_press/1100/0.20/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.20/lp/m_phi/resid	0x1.612f000000000p-38
cb/cpg/flow_press/1100/0.20/lp/m_phi/bare_phi	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.20/lp/m_phi/bare_m_phi	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.20/lp/m_phi/bare_m_i	0x1.2ee90f21c1008p-1
cb/cpg/flow_press/1100/0.20/hp/phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1100/0.20/hp/phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.20/hp/phi/goal	0x1.e7db0aff21fdep-1
cb/cpg/flow_press/1100/0.20/hp/phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.20/hp/phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1100/0.20/hp/phi/resid_last	-0x1.8bad6fe115cc8p-4
cb/cpg/flow_press/1100/0.20/hp/m_phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1100/0.20/hp/m_phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.20/hp/m_phi/goal	0x1.9c82e2cb10c88p-2
cb/cpg/flow_press/1100/0.20/hp/m_phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.20/hp/m_phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1100/0.20/hp/m_phi/resid_last	-0x1.58daa4b78fb08p-5
cb/cpg/flow_press/1100/0.30/lp/phi/feasible	0x1.5000000000000p+5
cb/cpg/flow_press/1100/0.30/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.30/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.30/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.30/lp/phi/b_star	0x1.84c88d2851eb8p-3
cb/cpg/flow_press/1100/0.30/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.30/lp/phi/resid	-0x1.4340000000000p-42
cb/cpg/flow_press/1100/0.30/lp/phi/bare_phi	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.30/lp/phi/bare_m_phi	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.30/lp/phi/bare_m_i	0x1.2ee90f21c1008p-1
cb/cpg/flow_press/1100/0.30/lp/m_phi/feasible	0x1.1800000000000p+5
cb/cpg/flow_press/1100/0.30/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.30/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.30/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.30/lp/m_phi/b_star	0x1.13921d451eb86p-4
cb/cpg/flow_press/1100/0.30/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.30/lp/m_phi/resid	-0x1.4bc1800000000p-37
cb/cpg/flow_press/1100/0.30/lp/m_phi/bare_phi	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.30/lp/m_phi/bare_m_phi	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.30/lp/m_phi/bare_m_i	0x1.2ee90f21c1008p-1
cb/cpg/flow_press/1100/0.30/hp/phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1100/0.30/hp/phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.30/hp/phi/goal	0x1.e7db0aff21fdep-1
cb/cpg/flow_press/1100/0.30/hp/phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.30/hp/phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1100/0.30/hp/phi/resid_last	-0x1.3188827a836a4p-3
cb/cpg/flow_press/1100/0.30/hp/m_phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1100/0.30/hp/m_phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.30/hp/m_phi/goal	0x1.9c82e2cb10c88p-2
cb/cpg/flow_press/1100/0.30/hp/m_phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.30/hp/m_phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1100/0.30/hp/m_phi/resid_last	-0x1.24001964a7e6cp-4
cb/cpg/flow_press/1300/0.05/lp/phi/feasible	0x1.1000000000000p+5
cb/cpg/flow_press/1300/0.05/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.05/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.05/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.05/lp/phi/b_star	0x1.28c92963d70a6p-5
cb/cpg/flow_press/1300/0.05/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.05/lp/phi/resid	-0x1.8ebc000000000p-39
