# phase-4G NO-march oracle — key	u64 bits	repr
# cpython 3.14.3
clock/free/0/0	4721314337268570855	45042689.231496625
clock/killT/0/0	4620313227900654885	7.662501276388217
clock/killc/0/0	4759463390979219805	15574997145.36004
clock/free/0/1	4715644056912634095	18175120.21621793
clock/killT/0/1	4614144728199496025	3.091886479946123
clock/killc/0/1	4759463390979219805	15574997145.36004
clock/free/0/2	4709536871420572116	7244628.3379330225
clock/killT/0/2	4608229191700902593	1.2324302752232799
clock/killc/0/2	4759463390979219805	15574997145.36004
clock/free/0/3	4700045087416750103	1698330.9054498726
clock/killT/0/3	4598876231534565346	0.2889139825523427
clock/killc/0/3	4759463390979219805	15574997145.36004
clock/free/0/4	4691253330904105536	437123.14444068447
clock/killT/0/4	4590022754985801636	0.07436182673288144
clock/killc/0/4	4759463390979219805	15574997145.36004
clock/free/1/0	4674801462831680688	33241.29828598478
clock/killT/1/0	4622120824567629451	10.535939255033801
clock/killc/1/0	4710733927667437596	8359473.843723323
clock/free/1/1	4668599574518986569	13413.155448730702
clock/killT/1/1	4616472606139529454	4.25134390992592
clock/killc/1/1	4710733927667437596	8359473.843723323
clock/free/1/2	4662600556391440037	5346.502521522028
clock/killT/1/2	4610310581398998473	1.6945916284320097
clock/killc/1/2	4710733927667437596	8359473.843723323
clock/free/1/3	4653227152900251189	1253.3604271764755
clock/killT/1/3	4600827960890812631	0.3972567260094712
clock/killc/1/3	4710733927667437596	8359473.843723323
clock/free/1/4	4644382765300266717	322.594877880865
clock/killT/1/4	4592032130356790402	0.10224751175771199
clock/killc/1/4	4710733927667437596	8359473.843723323
clock/free/2/0	4647774838589856887	518.8238413751959
clock/killT/2/0	4623738426343867010	13.409377233679383
clock/killc/2/0	4681781159939574997	102514.55720572484
clock/free/2/1	4641569863843548226	209.3499710812194
clock/killT/2/1	4617778039151931694	5.410801339905715
clock/killc/2/1	4681781159939574997	102514.55720572484
clock/free/2/2	4635572490991702712	83.44719127013639
clock/killT/2/2	4612038994762241129	2.15675298164074
clock/killc/2/2	4681781159939574997	102514.55720572484
clock/free/2/3	4626199490402398366	19.56221041250739
clock/killT/2/3	4602729254709853413	0.5055994694665996
clock/killc/2/3	4681781159939574997	102514.55720572484
clock/free/2/4	4617354923675260268	5.034999304485023
clock/killT/2/4	4593856562822842543	0.1301331967825425
clock/killc/2/4	4681781159939574997	102514.55720572484
clock/free/3/0	4630088829164497404	34.7598348682113
clock/killT/3/0	4625276422714801980	16.282815212324962
clock/killc/3/0	4662941039101043675	5656.169741951827
clock/free/3/1	4624085496838263964	14.025898280155438
clock/killT/3/1	4619083472164333933	6.57025876988551
clock/killc/3/1	4662941039101043675	5656.169741951827
clock/free/3/2	4617980635079972760	5.59074267111091
clock/killT/3/2	4613079689611289068	2.6189143348494692
clock/killc/3/2	4662941039101043675	5656.169741951827
clock/free/3/3	4608581312164906809	1.3106167245391147
clock/killT/3/3	4603705119387977055	0.6139422129237281
clock/killc/3/3	4662941039101043675	5656.169741951827
clock/free/3/4	4599748448146224126	0.3373317307885485
clock/killT/3/4	4594861250508336926	0.15801888180737306
clock/killc/3/4	4662941039101043675	5656.169741951827
clock/free/4/0	4617583621271401104	5.238123574014608
clock/killT/4/0	4626085223602920759	19.156253190970542
clock/killc/4/0	4649583999964642334	724.5016770026448
clock/free/4/1	4611941887761852624	2.113628810567299
clock/killT/4/1	4620388905176736175	7.729716199865307
clock/killc/4/1	4649583999964642334	724.5016770026448
clock/free/4/2	4605763743484426269	0.8424954000163357
clock/killT/4/2	4614120384460337008	3.081075688058199
clock/killc/4/2	4649583999964642334	724.5016770026448
clock/free/4/3	4596283816508885779	0.19750302000382955
clock/killT/4/3	4604680984066100697	0.7222849563808565
clock/killc/4/3	4649583999964642334	724.5016770026448
clock/free/4/4	4587486788450467371	0.050834110633897055
clock/killT/4/4	4595865938193831309	0.1859045668322036
clock/killc/4/4	4649583999964642334	724.5016770026448
clock/free/5/0	4608522396317854173	1.2975347785564886
clock/killT/5/0	4626894024491039540	22.02969116961613
clock/killc/5/0	4639694803948153513	156.05756356970713
clock/free/5/1	4602891088820355960	0.5235666650315656
clock/killT/5/1	4621193777935633656	8.889173629845104
clock/killc/5/1	4639694803948153513	156.05756356970713
clock/free/5/2	4596687028645207705	0.20869440494265204
clock/killT/5/2	4615161079309384950	3.54323704126693
clock/killc/5/2	4639694803948153513	156.05756356970713
clock/free/5/3	4587211432148700242	0.048923442470162684
clock/killT/5/3	4605656848744224341	0.8306276998379852
clock/killc/5/3	4639694803948153513	156.05756356970713
clock/free/5/4	4578412478791808789	0.012592109665316134
clock/killT/5/4	4596870625879325692	0.21379025185703415
clock/killc/5/4	4639694803948153513	156.05756356970713
clock/no_radicals_is_inf	4607182418800017408	1.0
exact/cold/0/tau	4729321422679217345	150365041.7198849
exact/cold/0/beta	4585923840230303452	0.039988978756878985
exact/cold/0/a	4620810834837893565	8.208930039073374
exact/cold/0/surrogate	4724029806057038988	65274508.29840955
exact/cold/0/ratio	4612369619466190198	2.3035798451743927
exact/cold/1/tau	4734751620213242799	355959622.51555914
exact/cold/1/beta	4584775438537210346	0.03202034124943849
exact/cold/1/a	4623284700502552744	12.603398232248153
exact/cold/1/surrogate	4730163277313697540	175454264.94023907
exact/cold/1/ratio	4611750844719632532	2.028788656900426
exact/cold/2/tau	4740688991244856566	882838115.5091846
exact/cold/2/beta	4582954956787209045	0.02531910576609005
exact/cold/2/a	4626254690871622540	19.75832187459632
exact/cold/2/surrogate	4737014783093920850	490854642.0872241
exact/cold/2/ratio	4610778873785819164	1.79857342645301
exact/cold/3/tau	4747124776191511372	2305206570.8060665
exact/cold/3/beta	4581350566310338822	0.01975275811636925
exact/cold/3/a	4629608794353836107	31.67449119596885
exact/cold/3/surrogate	4743798405024504913	1433276422.200947
exact/cold/3/ratio	4609922172438273080	1.6083475141983978
exact/cold/4/tau	4753471251521725313	6367916367.743043
exact/cold/4/beta	4579910282593515219	0.015190385082543589
exact/cold/4/a	4632515490129175182	52.00229807425522
exact/cold/4/surrogate	4751387612163340557	4380803026.998303
exact/cold/4/ratio	4609225232148567538	1.453595682914394
exact/cold/5/tau	4760702133539480976	18695552964.161682
exact/cold/5/beta	4577785551823176985	0.011504564735107569
exact/cold/5/a	4635862486053283400	87.5682689583856
exact/cold/5/surrogate	4758667437027404983	14056835463.584333
exact/cold/5/ratio	4608668594437570912	1.3299972822897743
exact/cold/6/tau	4767982554036141582	58576567882.7462
exact/cold/6/beta	4576095509098929339	0.00857280794595138
exact/cold/6/a	4639533646414626927	151.4771909792939
exact/cold/6/surrogate	4766529503084178041	47490668896.207954
exact/cold/6/ratio	4608233708489239434	1.2334332037050637
exact/cold/7/tau	4775752296262932551	196542080004.18967
exact/cold/7/beta	4573889540753123033	0.006279281434609729
exact/cold/7/a	4643450242989445558	269.58712156980926
exact/cold/7/surrogate	4774864167701995131	169438547260.73813
exact/cold/7/ratio	4607902818389940690	1.1599608423326697
exact/cold/8/tau	4784119945675330102	708098270902.5691
exact/cold/8/beta	4571857208601571484	0.004516514287470266
exact/cold/8/a	4647405444825455320	494.41431621314905
exact/cold/8/surrogate	4783564993790115703	640355120851.9833
exact/cold/8/ratio	4607658854476706940	1.105789971602717
exact/cold/9/tau	4792947213970431478	2744536169723.745
exact/cold/9/beta	4569494854351327074	0.003186874299616991
exact/cold/9/a	4651443451042520711	935.8967899446878
exact/cold/9/surrogate	4792592837972140560	2571501014308.258
exact/cold/9/ratio	4607485464008677695	1.067289553631397
exact/cold/10/tau	4802200897681180313	11459559632035.299
exact/cold/10/beta	4567227704266955279	0.002203654680886353
exact/cold/10/a	4655770347503171547	1831.6159314098684
exact/cold/10/surrogate	4801969573310702200	11007754220945.234
exact/cold/10/ratio	4607367265830591321	1.0410442858753497
traj/cold/T_exit	4649287324828129836	690.7736189019101
traj/cold/T_mid	4650742225623756638	856.1766895553844
traj/cold/p_mid	4682696750854492031	115838.15858346036
traj/cold/x_no_frozen	4556072932954877167	0.00040317734560409065
exact/dp/0/tau	4688790098793300928	293744.16498380527
exact/dp/0/beta	4592066694844845367	0.10272719038862453
exact/dp/0/a	4611886313578205071	2.088948915263195
exact/dp/0/surrogate	4681383534118041439	96728.33995815877
exact/dp/0/ratio	4614020673816776534	3.036795267145787
exact/dp/1/tau	4693734516880661749	638806.352854638
exact/dp/1/beta	4590803315172584650	0.08519427537628413
exact/dp/1/a	4614033421850619001	3.04245653142203
exact/dp/1/surrogate	4687446720917902081	238846.64056696746
exact/dp/1/ratio	4613204961226925491	2.674546107654089
exact/dp/2/tau	4698934439726761650	1439738.0889171776
exact/dp/2/beta	4589697342956858715	0.06984582764510121
exact/dp/2/a	4616771654737084529	4.516952420715925
exact/dp/2/surrogate	4693502755468358578	611825.7734542994
exact/dp/2/ratio	4612481316134915998	2.3531831305317175
exact/dp/3/tau	4704515038140227894	3380992.818996574
exact/dp/3/beta	4588313023901493659	0.056567270768215404
exact/dp/3/a	4619391414165201574	6.843766209575426
exact/dp/3/surrogate	4699749328221164798	1629469.1015751953
exact/dp/3/ratio	4611854688432211053	2.0749045291673185
exact/dp/4/tau	4710687193352952603	8315949.12163427
exact/dp/4/beta	4586678055181408968	0.04522239628334074
exact/dp/4/a	4622154203568207725	10.595232271003363
exact/dp/4/surrogate	4706614300289652596	4522771.867788184
exact/dp/4/ratio	4610959516598966466	1.838684188530849
exact/dp/5/tau	4716545484041638831	21533197.95466965
exact/dp/5/beta	4585299624839801863	0.03565761438900244
exact/dp/5/a	4625417150940708930	16.78278230549791
exact/dp/5/surrogate	4713303219436274008	13116018.537628815
exact/dp/5/ratio	4610072595112085114	1.6417480573767578
exact/dp/6/tau	4723187558574157255	58999275.54464298
exact/dp/6/beta	4583642960081960911	0.027706096700000956
exact/dp/6/a	4628360182662050911	27.23853135905335
exact/dp/6/surrogate	4720617574213542818	39851399.93305136
exact/dp/6/ratio	4609346316821521562	1.4804818812829468
exact/dp/7/tau	4730046626623306312	171977803.45845246
exact/dp/7/beta	4581765063584453109	0.021190834420638145
exact/dp/7/a	4631583429556383453	45.37960938139961
exact/dp/7/surrogate	4728315709322385440	127305088.01498461
exact/dp/7/ratio	4608762780023295058	1.350910683461525
