# phase-5J component-map matcher oracle — key	u64 bits	repr
# pypy 3.11.15
map/flow/eta_c/0/4	4604660403008689930	0.72
map/flow/eta_c/0/5	4604660222864704835	0.71998
map/flow/eta_c/0/6	4604650269909528346	0.7188749999999999
map/flow/eta_c/0/7	4604498273422104592	0.702
map/flow/eta_c/1/0	4605424889045436072	0.804875
map/flow/eta_c/1/1	4605573507833139298	0.821375
map/flow/eta_c/1/2	4605635432328015642	0.8282499999999999
map/flow/eta_c/1/3	4605645385283192131	0.829355
map/flow/eta_c/1/4	4605645565427177226	0.829375
map/flow/eta_c/1/5	4605645385283192131	0.829355
map/flow/eta_c/1/6	4605635432328015642	0.8282499999999999
map/flow/eta_c/1/7	4605483435840591888	0.811375
map/flow/eta_c/2/0	4605790806515159925	0.8455
map/flow/eta_c/2/1	4605939425302863151	0.862
map/flow/eta_c/2/2	4606001349797739495	0.868875
map/flow/eta_c/2/3	4606011302752915984	0.86998
map/flow/eta_c/2/4	4606011482896901079	0.87
map/flow/eta_c/2/5	4606011302752915984	0.86998
map/flow/eta_c/2/6	4606001349797739495	0.868875
map/flow/eta_c/2/7	4605849353310315741	0.852
map/flow/eta_c/3/0	4605875249008173122	0.854875
map/flow/eta_c/3/1	4606023867795876348	0.871375
map/flow/eta_c/3/2	4606085792290752692	0.87825
map/flow/eta_c/3/3	4606095745245929181	0.879355
map/flow/eta_c/3/4	4606095925389914276	0.879375
map/flow/eta_c/3/5	4606095745245929181	0.879355
map/flow/eta_c/3/6	4606085792290752692	0.87825
map/flow/eta_c/3/7	4605933795803328938	0.861375
map/flow/eta_c/4/0	4605880876255907521	0.85549975
map/flow/eta_c/4/1	4606029495043610747	0.87199975
map/flow/eta_c/4/2	4606091419538487091	0.8788747499999999
map/flow/eta_c/4/3	4606101372493663580	0.87997975
map/flow/eta_c/4/4	4606101552637648675	0.87999975
map/flow/eta_c/4/5	4606101372493663580	0.87997975
map/flow/eta_c/4/6	4606091419538487091	0.8788747499999999
map/flow/eta_c/4/7	4605939423051063337	0.86199975
map/flow/eta_c/5/0	4605880878507707335	0.8555
map/flow/eta_c/5/1	4606029497295410561	0.872
map/flow/eta_c/5/2	4606091421790286905	0.878875
map/flow/eta_c/5/3	4606101374745463394	0.87998
map/flow/eta_c/5/4	4606101554889448489	0.88
map/flow/eta_c/5/5	4606101374745463394	0.87998
map/flow/eta_c/5/6	4606091421790286905	0.878875
map/flow/eta_c/5/7	4605939425302863151	0.862
map/flow/eta_c/6/0	4605880876255907521	0.85549975
map/flow/eta_c/6/1	4606029495043610747	0.87199975
map/flow/eta_c/6/2	4606091419538487091	0.8788747499999999
map/flow/eta_c/6/3	4606101372493663580	0.87997975
map/flow/eta_c/6/4	4606101552637648675	0.87999975
map/flow/eta_c/6/5	4606101372493663580	0.87997975
map/flow/eta_c/6/6	4606091419538487091	0.8788747499999999
map/flow/eta_c/6/7	4605939423051063337	0.86199975
map/flow/eta_c/7/0	4605875249008173122	0.854875
map/flow/eta_c/7/1	4606023867795876348	0.871375
map/flow/eta_c/7/2	4606085792290752692	0.87825
map/flow/eta_c/7/3	4606095745245929181	0.879355
map/flow/eta_c/7/4	4606095925389914276	0.879375
map/flow/eta_c/7/5	4606095745245929181	0.879355
map/flow/eta_c/7/6	4606085792290752692	0.87825
map/flow/eta_c/7/7	4605933795803328938	0.861375
map/flow/eta_c/8/0	4605678216524475663	0.8330000000000001
map/flow/eta_c/8/1	4605826835312178889	0.8495
map/flow/eta_c/8/2	4605888759807055233	0.856375
map/flow/eta_c/8/3	4605898712762231722	0.85748
map/flow/eta_c/8/4	4605898892906216817	0.8575
map/flow/eta_c/8/5	4605898712762231722	0.85748
map/flow/eta_c/8/6	4605888759807055233	0.856375
map/flow/eta_c/8/7	4605736763319631479	0.8395
map/flow/eta_c/9/0	4604056920658622284	0.653
map/flow/eta_c/9/1	4604205539446325510	0.6695
map/flow/eta_c/9/2	4604267463941201854	0.676375
map/flow/eta_c/9/3	4604277416896378343	0.67748
map/flow/eta_c/9/4	4604277597040363438	0.6775
map/flow/eta_c/9/5	4604277416896378343	0.67748
map/flow/eta_c/9/6	4604267463941201854	0.676375
map/flow/eta_c/9/7	4604115467453778100	0.6595
map/flow/eta_t/0	4606216847039909174	0.8928
map/flow/eta_t/1	4606270439875474883	0.89875
map/flow/eta_t/2	4606281248514580572	0.89995
