# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
eq/flat/700/tau_t	4605552598053348061	0.8190535481035927
eq/flat/700/Tt3	4646169406554441591	424.1536750459267
eq/flat/700/Tt5	4648254345658483477	573.3374836725148
eq/flat/700/flowcoef	4605113229643978838	0.7702738556661284
eq/flat/700/Phi	13588846696053137502	-7.383516087066745e-17
eq/flat/700/sp_thrust	4641593396437610629	210.01880763180466
eq/flat/700/M9	4607182418800017850	1.0000000000000981
eq/flat/700/pt9_over_p0	4612007089365290020	2.142584139118769
eq/flat/700/eta_c	4606101554889448489	0.88
eq/flat/700/eta_t	4606281698874543309	0.9
eq/flat/700/nu_t	4607153719313836213	0.9968137169646726
eq/flat/700/p_net_spec	13672928468696825856	-2.9103830456733704e-11
eq/flat/700/m	4602899681148488617	0.5245206050843666
eq/flat/700/thrust	4637452180941626690	110.15919205813137
eq/flat/700/Tt2	4643745586963694955	286.3754828060834
eq/flat/700/pt2	4680086807681088516	77858.48677323764
eq/flat/700/V0	4643453651052699634	269.7808475368648
eq/flat/520/branch	1	1
eq/flat/520/nu	4603399355079703454	0.5799955554083345
eq/flat/520/n	4603399355079703454	0.5799955554083345
eq/flat/520/pi_c	4612945806269462122	2.559458187365455
eq/flat/520/tau_c	4608754297254484690	1.3490271304123564
eq/flat/520/mdot_air	4601850032835219385	0.45399311628466027
eq/flat/520/f	4570208698880457116	0.0034964550153368645
eq/flat/520/pi_t	4601419780084211770	0.43010929075581184
eq/flat/520/tau_t	4605529695880442415	0.8165108961362132
eq/flat/520/Tt3	4645503975445376784	386.3282957903439
eq/flat/520/Tt5	4646177006219513848	424.5856659908309
eq/flat/520/flowcoef	4605225629536397481	0.7827527505189852
eq/flat/520/Phi	4365571704325590355	7.503133441618135e-17
eq/flat/520/sp_thrust	4633899305753487272	61.83489946911806
eq/flat/520/M9	4605923845966850433	0.8602703462450308
eq/flat/520/pt9_over_p0	4609941883665276796	1.6127242858110256
eq/flat/520/eta_c	4606101554889448489	0.88
eq/flat/520/eta_t	4606281698874543309	0.9
eq/flat/520/nu_t	4607047972578612075	0.9850734709421948
eq/flat/520/p_net_spec	4449556431842050048	2.9103830456733704e-11
eq/flat/520/m	4601850032835219385	0.45399311628466027
eq/flat/520/thrust	4628594957378363500	28.072618705133593
eq/flat/520/Tt2	4643745586963694955	286.3754828060834
eq/flat/520/pt2	4680086807681088516	77858.48677323764
eq/flat/520/V0	4643453651052699634	269.7808475368648
eq/flow_dom/1500/branch	0	0
eq/flow_dom/1500/nu	4607182418799998929	0.9999999999979484
eq/flow_dom/1500/n	4607182418799998929	0.9999999999979484
eq/flow_dom/1500/pi_c	4621819117588931346	9.999999999928637
eq/flow_dom/1500/tau_c	4611770577926465714	2.0375519611307817
eq/flow_dom/1500/mdot_air	4607182418799952856	0.9999999999928333
eq/flow_dom/1500/f	4583515894746806934	0.027265250260252026
eq/flow_dom/1500/pi_t	4601396903998884109	0.4288394129236089
eq/flow_dom/1500/tau_t	4605762360027409860	0.8423418054330161
eq/flow_dom/1500/Tt3	4648343779432371109	583.5049266113098
eq/flow_dom/1500/Tt5	4653271803104164453	1263.512708149524
eq/flow_dom/1500/flowcoef	4607182418799971336	0.999999999994885
eq/flow_dom/1500/Phi	4378827793565617778	5.751343654765814e-16
eq/flow_dom/1500/sp_thrust	4649771419385843401	745.8087983266097
eq/flow_dom/1500/M9	4607182418800016934	0.9999999999999474
eq/flow_dom/1500/pt9_over_p0	4618759410625772348	6.28243430468029
eq/flow_dom/1500/eta_c	4606101554889448489	0.88
eq/flow_dom/1500/eta_t	4606281698874543309	0.9
eq/flow_dom/1500/nu_t	4607182418799998929	0.9999999999979484
eq/flow_dom/1500/p_net_spec	4460815430910476288	1.7462298274040222e-10
eq/flow_dom/1500/m	4607182418799952857	0.9999999999928334
eq/flow_dom/1500/thrust	4649771419385796386	745.8087983212647
eq/flow_dom/1500/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/1500/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/1500/V0	4643453651052699634	269.7808475368648
eq/flow_dom/1300/branch	0	0
eq/flow_dom/1300/nu	4606564979858755214	0.9314505071110533
eq/flow_dom/1300/n	4606564979858755214	0.9314505071110533
eq/flow_dom/1300/pi_c	4620500384062284249	7.828729340261327
eq/flow_dom/1300/tau_c	4611226559920747206	1.8979797174135213
eq/flow_dom/1300/mdot_air	4605807665275834185	0.8473716984267209
eq/flow_dom/1300/f	4581979107802820746	0.021933449481637037
eq/flow_dom/1300/pi_t	4601376914612148169	0.42772977905349
eq/flow_dom/1300/tau_t	4605728356382108508	0.8385666424395413
eq/flow_dom/1300/Tt3	4647992198990150232	543.5348579304509
eq/flow_dom/1300/Tt5	4652509287071294118	1090.1366351714037
eq/flow_dom/1300/flowcoef	4606369370144034682	0.909733466198744
eq/flow_dom/1300/Phi	13597169746234893475	-2.616094899188524e-16
eq/flow_dom/1300/sp_thrust	4648744915611910888	629.1088303589177
eq/flow_dom/1300/M9	4607182418800016535	0.9999999999999031
eq/flow_dom/1300/pt9_over_p0	4617209257122371380	4.905621415737006
eq/flow_dom/1300/eta_c	4606081090862135985	0.87772803657011
eq/flow_dom/1300/eta_t	4606281698822335040	0.8999999942037178
eq/flow_dom/1300/nu_t	4607184843285227838	1.0005383438606965
eq/flow_dom/1300/p_net_spec	13679683868137881600	-8.731149137020111e-11
eq/flow_dom/1300/m	4605807665275834144	0.8473716984267163
eq/flow_dom/1300/thrust	4647900316411099650	533.0890180764839
eq/flow_dom/1300/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/1300/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/1300/V0	4643453651052699634	269.7808475368648
eq/flow_dom/1100/branch	0	0
eq/flow_dom/1100/nu	4605913429228162400	0.8591138559317351
eq/flow_dom/1100/n	4605913429228162400	0.8591138559317351
eq/flow_dom/1100/pi_c	4618457129025251884	6.0139543104256
eq/flow_dom/1100/tau_c	4610601486105664940	1.7591854490945975
eq/flow_dom/1100/mdot_air	4604601110646236350	0.7134172254019615
eq/flow_dom/1100/f	4580500894238587892	0.016804865936872873
eq/flow_dom/1100/pi_t	4601348491921365778	0.42615200276706944
eq/flow_dom/1100/tau_t	4605684308782618664	0.833676376526232
eq/flow_dom/1100/Tt3	4647570341066825060	503.7875823299021
eq/flow_dom/1100/Tt5	4651277620273157619	917.0440141788553
eq/flow_dom/1100/flowcoef	4605654892997860720	0.8304105683736633
eq/flow_dom/1100/Phi	0	0.0
eq/flow_dom/1100/sp_thrust	4647510215642579250	500.3698476553137
eq/flow_dom/1100/M9	4607182418800017674	1.000000000000059
eq/flow_dom/1100/pt9_over_p0	4615636914354114327	3.754550250299768
eq/flow_dom/1100/eta_c	4606027852678920835	0.8718174108906428
eq/flow_dom/1100/eta_t	4606281696996463418	0.8999997914912463
eq/flow_dom/1100/nu_t	4607196960223517321	1.0032288446360857
eq/flow_dom/1100/p_net_spec	0	0.0
eq/flow_dom/1100/m	4604601110646236351	0.7134172254019616
eq/flow_dom/1100/thrust	4644987542268245564	356.9724683890561
eq/flow_dom/1100/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/1100/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/1100/V0	4643453651052699634	269.7808475368648
eq/flow_dom/900/branch	0	0
eq/flow_dom/900/nu	4605194916994926542	0.779342973450406
eq/flow_dom/900/n	4605194916994926542	0.779342973450406
eq/flow_dom/900/pi_c	4616797070054835486	4.539525757472147
eq/flow_dom/900/tau_c	4609975880396771058	1.6202730766244113
eq/flow_dom/900/mdot_air	4603587706586566973	0.6009067733726067
eq/flow_dom/900/f	4578022465986750284	0.01191554529644958
eq/flow_dom/900/pi_t	4601315705959496090	0.42433201627945893
eq/flow_dom/900/tau_t	4605622999037726932	0.8268696274849625
eq/flow_dom/900/Tt3	4646870504594439405	464.006484596014
eq/flow_dom/900/Tt5	4649757115763517962	744.1826647364662
eq/flow_dom/900/flowcoef	4605120155505021723	0.7710427807056449
eq/flow_dom/900/Phi	0	0.0
eq/flow_dom/900/sp_thrust	4645007219649370972	358.0909980064514
eq/flow_dom/900/M9	4607182418800017351	0.9999999999999937
eq/flow_dom/900/pt9_over_p0	4613536888710139624	2.8219515214021733
eq/flow_dom/900/eta_c	4605961584560151067	0.8644601717649637
eq/flow_dom/900/eta_t	4606281692110916199	0.8999992490865453
eq/flow_dom/900/nu_t	4607210014392298514	1.0061274523857304
eq/flow_dom/900/p_net_spec	0	0.0
eq/flow_dom/900/m	4603587706586566973	0.6009067733726067
eq/flow_dom/900/thrust	4641774965338899450	215.17930618583324
eq/flow_dom/900/Tt2	4643745586963694955	286.3754828060834
eq/flow_dom/900/pt2	4680086807681088516	77858.48677323764
eq/flow_dom/900/V0	4643453651052699634	269.7808475368648
eq/flow_dom/700/branch	0	0
