# phase-3B finite-quench oracle — key	u64 bits	repr
# cpython 3.14.3
holdeman/0.125/2.0/w	4604480259023595110	0.7
holdeman/0.125/2.0/tcore	4569908890775159598	0.0033664339756999317
holdeman/0.125/4.0/C	4612811918334230528	2.5
holdeman/0.125/4.0/u	0	0.0
holdeman/0.125/4.0/w	0	0.0
holdeman/0.125/4.0/tcore	4567911030049346683	0.0025
holdeman/0.125/8.0/C	4615143733390674624	3.5355339059327378
holdeman/0.125/8.0/u	4599914934686071280	0.3465735902799727
holdeman/0.125/8.0/w	4604480259023595110	0.7
holdeman/0.125/8.0/tcore	4569908890775159598	0.0033664339756999317
holdeman/0.125/16.0/C	4617315517961601024	5.0
holdeman/0.125/16.0/u	4604418534313441775	0.6931471805599453
holdeman/0.125/16.0/w	4604480259023595110	0.7
holdeman/0.125/16.0/tcore	4571530186641012977	0.004232867951399864
holdeman/0.125/32.0/C	4619647333018045120	7.0710678118654755
holdeman/0.125/32.0/u	4607361305248770932	1.039720770839918
holdeman/0.125/32.0/w	4604480259023595110	0.7
holdeman/0.125/32.0/tcore	4572529117003919434	0.005099301927099795
holdeman/0.125/64.0/C	4621819117588971520	10.0
holdeman/0.125/64.0/u	4608922133940812271	1.3862943611198906
holdeman/0.125/64.0/w	4604480259023595110	0.7
holdeman/0.125/64.0/tcore	4573528047366825892	0.005965735902799727
holdeman/0.125/128.0/C	4624150932645415616	14.142135623730951
holdeman/0.125/128.0/u	4610482962632853611	1.7328679513998633
holdeman/0.125/128.0/w	4604480259023595110	0.7
holdeman/0.125/128.0/tcore	4574526977729732350	0.006832169878499659
holdeman/ku0.0w0.7/1.0/w	0	0.0
holdeman/ku0.0w0.7/16.0/w	0	0.0
holdeman/ku0.0w0.7/128.0/w	0	0.0
holdeman/ku2.5w0.2/1.0/w	4596373779694328218	0.2
holdeman/ku2.5w0.2/16.0/w	0	0.0
holdeman/ku2.5w0.2/128.0/w	4596373779694328218	0.2
holdeman/ku5.0w0.7/1.0/w	4604480259023595110	0.7
holdeman/ku5.0w0.7/16.0/w	0	0.0
holdeman/ku5.0w0.7/128.0/w	4604480259023595110	0.7
dp/dp1/Tt3	4648343779432381839	583.5049266125296
dp/dp1/Tt4	4654311885213007872	1500.0
dp/dp1/far	4583491089772941734	0.02717919071928212
dp/dp1/pt4	4694667685457302737	747441.4730230813
dp/dp4/Tt3	4650456414982095846	823.683781517783
dp/dp4/Tt4	4655631299166339072	1800.0
dp/dp4/far	4584579395695414361	0.03095501038479784
dp/dp4/pt4	4699817676430507771	1645382.6591491092
traj/dp1/0.8/T_p	4657110208835821568	2224.5302543975413
traj/dp1/0.8/alpha	4602696893248152431	0.5020066254775041
traj/dp1/0.8/n0	4548757181730537884	0.00012536515103224184
traj/dp1/0.8/ei9	4617066924484258285	4.779204638145967
traj/dp1/0.8/0/a	4602696893248152431	0.5020066254775041
traj/dp1/0.8/0/T	4657110208835488768	2224.5302542462014
traj/dp1/0.8/0/cO	4576506728938853954	0.009286160656056034
traj/dp1/0.8/0/cN2	4629095164248654344	29.849710495445862
traj/dp1/0.8/0/cH	4564663186696024094	0.0015222987360870087
traj/dp1/0.8/0/cNOe	4597789685024160022	0.23929926744671864
traj/dp1/0.8/0/ntot_local	4607441351080594300	1.0574945159430333
traj/dp1/0.8/0/V	4578726354472281460	0.013136597176770272
traj/dp1/0.8/1/a	4602837065921648212	0.5175689184313321
traj/dp1/0.8/1/T	4657031427851168768	2188.7048103264533
traj/dp1/0.8/1/cO	4575742580973498091	0.007960575241433307
traj/dp1/0.8/1/cN2	4629249026196431864	30.396337941961946
traj/dp1/0.8/1/cH	4562649764475471292	0.0010857073869562214
traj/dp1/0.8/1/cNOe	4597731097635871685	0.2376731407609595
traj/dp1/0.8/1/ntot_local	4607432257698151288	1.0554753794310425
traj/dp1/0.8/1/V	4578820705842271427	0.013300270713282441
traj/dp1/0.8/2/a	4602977238595143992	0.5331312113851601
traj/dp1/0.8/2/T	4656954747853728768	2153.8347846246324
traj/dp1/0.8/2/cO	4574446336247143469	0.006762224542007406
traj/dp1/0.8/2/cN2	4629402728354231910	30.942397700439322
traj/dp1/0.8/2/cH	4560298715844645986	0.000776233740162124
traj/dp1/0.8/2/cNOe	4597600930661490595	0.23406028146086752
traj/dp1/0.8/2/ntot_local	4607423969636834209	1.0536350601302973
traj/dp1/0.8/2/V	4578911865991470934	0.013458408364172374
traj/dp1/0.8/3/a	4603117411268639773	0.5486935043389881
traj/dp1/0.8/3/T	4656880414299808768	2120.0317978975363
traj/dp1/0.8/3/cO	4573229254656623989	0.005706574538380739
traj/dp1/0.8/3/cN2	4629555822642101292	31.486297871099097
traj/dp1/0.8/3/cH	4558273303062026269	0.0005566380462525032
traj/dp1/0.8/3/cNOe	4597418138310834472	0.22898677455027294
traj/dp1/0.8/3/ntot_local	4607416353434769866	1.051943923551891
traj/dp1/0.8/3/V	4579000402577226529	0.013611994857965439
traj/dp1/0.8/4/a	4603257583942135553	0.564255797292816
traj/dp1/0.8/4/T	4656808547488928768	2087.350556033198
traj/dp1/0.8/4/cO	4572176031491853395	0.00479304906369567
traj/dp1/0.8/4/cN2	4629704203695059768	32.02690653523899
traj/dp1/0.8/4/cH	4556023742989604932	0.00040051075224345847
traj/dp1/0.8/4/cNOe	4597197530977991344	0.2228636910421833
traj/dp1/0.8/4/ntot_local	4607409307270273360	1.0503793607400276
traj/dp1/0.8/4/V	4579086747537661484	0.013761779487864244
traj/dp1/0.8/5/a	4603397756615631334	0.5798180902466441
traj/dp1/0.8/5/T	4656739185736608768	2055.8084829128347
traj/dp1/0.8/5/cO	4571275991557541666	0.00401238886201208
