# phase-3E nozzle-strand oracle — key	u64 bits	repr
# pypy 3.11.15
nz/dp/exit_eq/CO2	4588247602549487378	0.05611331894759365
nz/dp/exit_eq/H2O	4588247602475270513	0.0561133184326107
nz/dp/exit_eq/CO	4393067255940600355	5.175889066400443e-15
nz/dp/exit_eq/H2	4401903487938946788	2.0164078727031512e-14
nz/dp/exit_eq/OH	4472551294990851774	1.0299359477877996e-09
nz/dp/exit_eq/O	4410083557671495687	7.021647261034241e-14
nz/dp/exit_eq/H	4337427745837034090	9.562057875130707e-19
nz/dp/exit_eq/O2	4593686530610454326	0.12541385485450868
nz/dp/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/dp/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/dp/x_no_e_entry	4553309390629246001	0.000253365415943843
clamp/dp/x_no_e_exit	4522103537436887460	2.1146648411945373e-06
clamp/dp/collapse	4638131543132711127	119.8135094546336
dp/warm/far	4585619188231855584	0.03787503086203592
dp/warm/Tt9	4654647017826948764	1576.2003341926384
dp/warm/pt9	4690101518835834607	370078.85813473066
dp/warm/p9	4677104761256804352	50000.0
dp/warm/V9_cycle	4653030337690208952	1208.6098294860403
dp/warm/T9_cycle	4651997398599473803	998.8733359582997
nz/warm/T9_frozen	4651997398599473769	998.8733359582958
nz/warm/T9_eq	4652006707907421435	999.9316817402427
nz/warm/V9_frozen	4653030337690208968	1208.609829486044
nz/warm/V9_eq	4653033078172241216	1209.2329429582023
nz/warm/dV9	4603787726747320320	0.6231134721583658
nz/warm/dV9_frac	4557894444712503252	0.0005155621416907904
nz/warm/co_frac_entry	4553290394884093731	0.00025233565453573937
nz/warm/exit_eq/CO2	4590299008949492986	0.07819562062205768
nz/warm/exit_eq/H2O	4590299005231216851	0.07819556902061046
nz/warm/exit_eq/CO	4447518377366027043	2.251852127746359e-11
nz/warm/exit_eq/H2	4450056500549258348	3.233544873444591e-11
nz/warm/exit_eq/OH	4502388733451596592	1.0318324197363007e-07
nz/warm/exit_eq/O	4454866584168347652	6.863211021901152e-11
nz/warm/exit_eq/H	4401396955789382884	1.8565745086917407e-14
nz/warm/exit_eq/O2	4591314643165622143	0.09229037676385408
nz/warm/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/warm/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/warm/x_no_e_entry	4563146321197880228	0.0011933809623958314
clamp/warm/x_no_e_exit	4537138964769449981	2.208296084896948e-05
clamp/warm/collapse	4632802384354938914	54.0408041547346
dp/hot/far	4587980708589503110	0.054261370075669155
dp/hot/Tt9	4656474852593391881	1991.8018431417315
dp/hot/pt9	4691084119214877324	427273.7278114937
dp/hot/p9	4677104761256804352	50000.0
dp/hot/V9_cycle	4653900841345945237	1406.5394451775694
dp/hot/T9_cycle	4653247435782818650	1257.9722207344225
nz/hot/T9_frozen	4653247435782818574	1257.9722207344053
nz/hot/T9_eq	4653308816264861714	1271.9285265370313
nz/hot/V9_frozen	4653900841345945308	1406.5394451775855
nz/hot/V9_eq	4653929315186485836	1413.01364695527
nz/hot/dV9	4618975321605763072	6.474201777684357
nz/hot/dV9_frac	4571956838453963636	0.004602929409396651
nz/hot/co_frac_entry	4577478271393319928	0.010971518159726287
nz/hot/exit_eq/CO2	4592736765048196832	0.11202628248707525
nz/hot/exit_eq/H2O	4592736529226196264	0.11202300979939095
nz/hot/exit_eq/CO	4499786286109607732	6.874013818989657e-08
nz/hot/exit_eq/H2	4496379961643309051	4.1631227013945134e-08
nz/hot/exit_eq/OH	4529405205099500152	6.599385496898321e-06
nz/hot/exit_eq/O	4494801661197576792	3.118691077799692e-08
nz/hot/exit_eq/H	4462094804722703161	2.076940206679687e-10
nz/hot/exit_eq/O2	4586147754553682258	0.04154269649036969
nz/hot/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/hot/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/hot/x_no_e_entry	4569819974199580383	0.003327872557934749
clamp/hot/x_no_e_exit	4549202002066642951	0.00013742203040151299
clamp/hot/collapse	4627509539985065862	24.21644148475709
dp/cool0/far	4581786114630726812	0.021263869908967878
dp/cool0/Tt9	4652486993103246260	1085.0675737161482
dp/cool0/pt9	4690158102991709771	373372.489492987
dp/cool0/p9	4677104761256804352	50000.0
dp/cool0/V9_cycle	4651956617081298159	994.2370141194241
dp/cool0/T9_cycle	4648976905827319412	655.4830643310693
nz/cool0/T9_frozen	4648976905827319472	655.4830643310761
nz/cool0/T9_eq	4648977002621428940	655.4940685472916
nz/cool0/V9_frozen	4651956617081298097	994.237014119417
nz/cool0/V9_eq	4651956703331918665	994.2468196797209
nz/cool0/dV9	4576806142450597888	0.009805560303902894
