# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
G/r44/43/nu_lp	4606248009004294979	0.896259673035367
G/r44/43/nu_hp	4605969298176967127	0.8653165552641963
G/r44/43/Tt4	4653872080561897472	1400.0
G/r44/43/slip	4607343464388266183	1.0357593040176185
G/r44/43/pi_lpc	4612765608470610036	2.4794342892565115
G/r44/43/pi_hpc	4617177831585888422	4.8777099324053435
G/r44/43/phi_lp	4605172175024932672	0.7768181075791531
G/r44/43/phi_hp	4606442612636178205	0.9178650163146106
G/r44/43/mdot_air	4604446308575716153	0.6962307431068445
G/r44/43/f	4583485253155022888	0.02715894088303386
G/r44/43/Phi_lp	4591886989788507245	0.10023328174877273
G/r44/43/Phi_hp	4591769185859742029	0.09859842382244217
G/r44/43/sp_thrust	4648871739728042580	643.5270630687687
G/r44/44/s	4606101554889448493	0.8800000000000004
G/r44/44/nu_lp	4606265850417707043	0.89824046783156
G/r44/44/nu_hp	4605986907068055705	0.8672715348966619
G/r44/44/Tt4	4653872080561897472	1400.0
G/r44/44/slip	4607343235417666790	1.0357084623313368
G/r44/44/pi_lpc	4612785393109452114	2.488220433887059
G/r44/44/pi_hpc	4617192913843143163	4.89110566781937
G/r44/44/phi_lp	4605200930031163418	0.7800105545782146
G/r44/44/phi_hp	4606455933075052408	0.9193438821082358
G/r44/44/mdot_air	4604485997018968655	0.7006370454578902
G/r44/44/f	4583476680554843533	0.02712919870147128
G/r44/44/Phi_lp	4591715369511456086	0.09785157196033842
G/r44/44/Phi_hp	4591646922004027015	0.09690167197626397
G/r44/44/sp_thrust	4648880507418885874	644.5238341148636
G/r44/45/s	4606281698874543313	0.9000000000000005
G/r44/45/nu_lp	4606283265705852614	0.9001739532195294
G/r44/45/nu_hp	4606004211470672204	0.869192709517884
G/r44/45/Tt4	4653872080561897472	1400.0
G/r44/45/slip	4607342943751575730	1.0356436994493774
G/r44/45/pi_lpc	4612804795741775829	2.4968369335447087
G/r44/45/pi_hpc	4617207757006714898	4.904289045383864
G/r44/45/phi_lp	4605229278778002001	0.783157897724161
G/r44/45/phi_hp	4606469006590674698	0.9207953339139021
G/r44/45/mdot_air	4604525099931043727	0.704978340789454
G/r44/45/f	4583468270571743444	0.027100020711238695
G/r44/45/Phi_lp	4591546098103449107	0.09550245927808758
G/r44/45/Phi_hp	4591525602536729860	0.09521802615215696
G/r44/45/sp_thrust	4648889036375477220	645.4934642187986
G/r44/46/s	4606461842859638133	0.9200000000000005
G/r44/46/nu_lp	4606300260803090682	0.9020607880454741
G/r44/46/nu_hp	4606021213800803270	0.8710803473562627
G/r44/46/Tt4	4653872080561897472	1400.0
G/r44/46/slip	4607342591741086692	1.0355655374194095
G/r44/46/pi_lpc	4612823816825389361	2.505283991537134
G/r44/46/pi_hpc	4617222363377838595	4.917262109006063
G/r44/46/phi_lp	4605257219575283953	0.7862599493710417
G/r44/46/phi_hp	4606481836070788005	0.9222196923354785
G/r44/46/mdot_air	4604563614073283090	0.7092542695382369
G/r44/46/f	4583460021914591797	0.027071402432826203
G/r44/46/Phi_lp	4591379224604954785	0.09318662427523573
G/r44/46/Phi_hp	4591405271112751140	0.09354809218356813
G/r44/46/sp_thrust	4648897332739481838	646.4366516070711
G/r44/47/s	4606641986844732953	0.9400000000000005
G/r44/47/nu_lp	4606316841761083044	0.9039016441788204
G/r44/47/nu_hp	4606037916580887098	0.8729347284586944
G/r44/47/Tt4	4653872080561897472	1400.0
G/r44/47/slip	4607342181707313142	1.0354744916321557
G/r44/47/pi_lpc	4612842457175788357	2.5135619700171525
G/r44/47/pi_hpc	4617236735291623925	4.930026932679984
G/r44/47/phi_lp	4605284751102088700	0.7893165628672132
G/r44/47/phi_hp	4606494424449692535	0.92361728314573
G/r44/47/mdot_air	4604601536808820243	0.7134645389532487
G/r44/47/f	4583451933216168982	0.027043339122737896
G/r44/47/Phi_lp	4591214793824505418	0.09090468879508609
G/r44/47/Phi_hp	4591285969237045176	0.09189244606744651
