# phase-3E nozzle-strand oracle — key	u64 bits	repr
# cpython 3.14.3
nz/cool/co_frac_entry	4504685573237530646	1.4795403731056196e-07
nz/cool/exit_eq/CO2	4586280092451651039	0.042460975123841165
nz/cool/exit_eq/H2O	4586280092450643938	0.042460975116853
nz/cool/exit_eq/CO	4342968679838803821	2.3119782418256788e-18
nz/cool/exit_eq/H2	4358188992333990179	2.376367146701904e-17
nz/cool/exit_eq/OH	4444696532564874705	1.397628209833169e-11
nz/cool/exit_eq/O	4368389412232518484	1.0976226582411458e-16
nz/cool/exit_eq/H	4278434009303359513	1.0621679799960994e-22
nz/cool/exit_eq/O2	4594424346906294991	0.1458923708441575
nz/cool/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/cool/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/cool/x_no_e_entry	4542372842981541352	4.911448187340154e-05
clamp/cool/x_no_e_exit	4507411968441752475	2.2012111747343714e-07
clamp/cool/collapse	4642054522799256595	223.1248070932057
dp/dp/far	4583491089772941734	0.02717919071928212
dp/dp/Tt9	4653268190414248304	1262.6912775650526
dp/dp/pt9	4689142792485382617	314273.6398188151
dp/dp/p9	4677104761256804352	50000.0
dp/dp/V9_cycle	4652288304451292299	1039.891004652515
dp/dp/T9_cycle	4650351087250212914	811.7094047556222
nz/dp/T9_frozen	4650351087250212771	811.709404755606
nz/dp/T9_eq	4650351943366078588	811.806733861114
nz/dp/V9_frozen	4652288304451292378	1039.891004652533
nz/dp/V9_eq	4652288616425223280	1039.9619393118446
nz/dp/dV9	4589775801547063296	0.07093465931166065
nz/dp/dV9_frac	4544661696147456206	6.821355218411819e-05
nz/dp/co_frac_entry	4527661933814733633	5.122777282698746e-06
nz/dp/exit_eq/CO2	4588247602549487378	0.05611331894759365
nz/dp/exit_eq/H2O	4588247602475270513	0.0561133184326107
nz/dp/exit_eq/CO	4393067255942564560	5.175889067949927e-15
nz/dp/exit_eq/H2	4401903487940611851	2.0164078732285524e-14
nz/dp/exit_eq/OH	4472551294991703660	1.0299359479639655e-09
nz/dp/exit_eq/O	4410083557672977151	7.021647262904111e-14
nz/dp/exit_eq/H	4337427745838841299	9.562057878611265e-19
nz/dp/exit_eq/O2	4593686530610454326	0.12541385485450868
nz/dp/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/dp/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/dp/x_no_e_entry	4553309390629511781	0.00025336541595825094
clamp/dp/x_no_e_exit	4522103537437364491	2.114664841396568e-06
clamp/dp/collapse	4638131543132385083	119.81350945000024
dp/warm/far	4585619188231855584	0.03787503086203592
dp/warm/Tt9	4654647017826948760	1576.2003341926375
dp/warm/pt9	4690101518835834652	370078.8581347333
dp/warm/p9	4677104761256804352	50000.0
dp/warm/V9_cycle	4653030337690208948	1208.6098294860394
