# slice Q smoke — rung 37 CombustorTransient — key	u64 bits (or an integer)	repr
D/1/pt4	4694430445131511706	719823.0641457916
census/D/backpressure_bracket_fails	0	0
census/D/backpressure_calls	204	204
census/D/illinois_calls	410	410
census/D/illinois_evals	3587	3587
census/D/illinois_exhausted	2	2
census/D/instant_soak_calls	0	0
census/D/plenum_state_calls	204	204
census/D/pt4_at_bracket_fails	0	0
census/D/pt4_at_calls	2	2
census/D/pt4_at_floor_fails	0	0
census/D/soak_close_bracket_fails	0	0
census/D/soak_close_calls	0	0
E/flow/0/nu	4606772882669204789	0.954532355815593
E/flow/0/pt4	4693945508527681582	663369.0133452469
E/flow/0/Tt4	4653872080561892709	1399.999999998917
E/flow/0/pi_c	4621185909652726985	8.875196751689503
E/flow/0/phi	4606876652512508146	0.9660531227453062
E/flow/0/f	4582740548490756064	0.02457522755548769
E/flow/0/mdot_c	4606481018854459585	0.9221289630970874
E/flow/0/mdot_ngv	4606685135762512965	0.9447904922007032
E/flow/0/Phi	13657919405517332088	-3.032834676586339e-12
E/flow/0/dpt4_ds	4489870781467406606	1.4540432657091922e-08
E/flow/0/tau_t	4605746347658380096	0.8405640753554522
E/flow/0/Tt3	4648167828330828042	563.5016022832435
E/flow/0/rung35_nu	4606772882669196752	0.9545323558147008
E/flow/0/rung35_pi_c	4621185909652718684	8.875196751674757
E/flow/0/massbal_rel	4382861454831512258	1.0575897306451505e-15
E/flow/1/nu	4605566620785509845	0.8206103841150091
E/flow/1/pt4	4691508151782508921	451955.6717244606
E/flow/1/Tt4	4652552666608565751	1099.9999999998815
E/flow/1/pi_c	4618494000952540773	6.046703160536343
E/flow/1/phi	4606048482910882949	0.8741078267434125
E/flow/1/f	4580500960861463632	0.01680509708140604
E/flow/1/mdot_c	4604636101219965421	0.7173019594618474
E/flow/1/mdot_ngv	4604744676963740533	0.7293562885273405
E/flow/1/Phi	4407679697513747716	4.83594553350489e-14
E/flow/1/dpt4_ds	13738891111049879907	-7.851833634829637e-07
E/flow/1/tau_t	4605684374842665994	0.8336837106647874
E/flow/1/Tt3	4647570178767136266	503.778356660711
E/flow/1/rung35_nu	4605566620785509837	0.8206103841150082
E/flow/1/rung35_pi_c	4618494000952540457	6.046703160536063
E/flow/1/massbal_rel	13633753669859869726	-7.39787122501241e-14
E/press/0/nu	4606743381644765683	0.9512570841573605
E/press/0/pt4	4693944446688492569	663245.3989943295
E/press/0/Tt4	4653872080561906775	1400.0000000021153
E/press/0/pi_c	4621184978627414599	8.87354291850819
E/press/0/phi	4606904985230256687	0.9691986863047698
E/press/0/f	4582740553060507790	0.024575243409998886
E/press/0/mdot_c	4606479470996147732	0.9219571163034197
E/press/0/mdot_ngv	4606683549996890729	0.9446144368501567
E/press/0/Phi	4433569282702571111	2.6377889033880732e-12
E/press/0/dpt4_ds	4479887009742247493	3.231207257131538e-09
E/press/0/tau_t	4605746351014539633	0.8405644479640114
E/press/0/Tt3	4648167822874382567	563.5009819572123
E/press/0/rung35_nu	4606743381644778076	0.9512570841587364
E/press/0/rung35_pi_c	4621184978627425886	8.87354291852824
E/press/0/massbal_rel	4373259297661587657	2.350637426900284e-16
E/press/1/nu	4605470045249491251	0.8098883457446732
E/press/1/pt4	4691486135912282044	450674.17941557965
E/press/1/Tt4	4652552666608570957	1100.0000000010652
E/press/1/pi_c	4618474697339839795	6.029558108313085
E/press/1/phi	4606130095377367244	0.8831686306821438
E/press/1/f	4580501007110119089	0.016805257538662747
E/press/1/mdot_c	4604617780773532737	0.7152679813167496
E/press/1/mdot_ngv	4604726049674199528	0.7272882439538622
E/press/1/Phi	13671642246091572940	-2.4947821071996758e-11
E/press/1/dpt4_ds	13762261702730241958	-2.8014566919330436e-05
E/press/1/tau_t	4605684420700582506	0.8336888019162647
E/press/1/Tt3	4647570066100870505	503.77195232497485
E/press/1/rung35_nu	4605470045249472133	0.8098883457425506
