# phase-3D resolved-cross-plane oracle — key	u64 bits	repr
# cpython 3.14.3
d24/n48/J16.0	4372432288223330304	2.0816681711721685e-16
g22/n48/J100.0	4586544480444718806	0.04429553535720536
g23/n48/J100.0	4586544480444718806	0.04429553535720536
g24/n48/J100.0	4586544480444718806	0.04429553535720536
d23/n48/J100.0	0	0.0
d24/n48/J100.0	0	0.0
g22/n48/J400.0	4587163683910979020	0.048592122514516584
g23/n48/J400.0	4587163683910979020	0.048592122514516584
g24/n48/J400.0	4587163683910979031	0.04859212251451666
d23/n48/J400.0	0	0.0
d24/n48/J400.0	4365676888782274560	7.632783294297951e-17
g22/halfS/J4.0	4586252571751723504	0.04227001190688273
g22/halfS/J16.0	4584644013196286399	0.031179197376241193
g22/halfS/J64.0	4580884326487337178	0.018135163783576803
g22/halfS/J256.0	4585805974343732414	0.03917111987507259
g22/dblH/J4.0	4586252571751723504	0.04227001190688273
g22/dblH/J16.0	4584644013196286399	0.031179197376241193
g22/dblH/J64.0	4580884326487337178	0.018135163783576803
g22/dblH/J256.0	4585805974343732414	0.03917111987507259
g22/both/J4.0	4584644013196286399	0.031179197376241193
g22/both/J16.0	4580884326487337178	0.018135163783576803
g22/both/J64.0	4585805974343732415	0.039171119875072595
g22/both/J256.0	4587439878263269671	0.05050860582191979
g22/dp4/J4.0	4583803093701695527	0.02826167179889452
g22/dp4/J16.0	4580477973212618993	0.016725342653189427
g22/dp4/J64.0	4585243817160786709	0.035270370825292975
loc/g/base/idx	4611686018427387904	2.0
loc/g/base/J	4625196817309499392	16.0
loc/g/base/C	4612811918334230528	2.5
loc/g/base/gmin	4580884326487337178	0.018135163783576803
loc/g/base/clear_lo	4608172990664854730	1.2199511383776547
loc/g/base/clear_hi	4609363476049781415	1.4842919953427243
loc/g/base/v0	4584644013196286399	0.031179197376241193
loc/g/base/v1	4582034034199863766	0.022124013702439736
loc/g/base/v2	4580884326487337178	0.018135163783576803
loc/g/base/v3	4583415771635870160	0.026917878438192322
loc/g/base/v4	4585805974343732415	0.039171119875072595
loc/g/halfS/idx	4611686018427387904	2.0
loc/g/halfS/J	4634204016564240384	64.0
loc/g/halfS/C	4612811918334230528	2.5
loc/g/halfS/gmin	4580884326487337178	0.018135163783576803
loc/g/halfS/clear_lo	4608172990664854727	1.219951138377654
loc/g/halfS/clear_hi	4609363476049781415	1.4842919953427243
loc/g/halfS/v0	4584644013196286399	0.031179197376241193
loc/g/halfS/v1	4582034034199863763	0.022124013702439726
loc/g/halfS/v2	4580884326487337178	0.018135163783576803
loc/g/halfS/v3	4583415771635870160	0.026917878438192322
loc/g/halfS/v4	4585805974343732414	0.03917111987507259
loc/g/dblH/idx	4611686018427387904	2.0
loc/g/dblH/J	4634204016564240384	64.0
loc/g/dblH/C	4612811918334230528	2.5
loc/g/dblH/gmin	4580884326487337178	0.018135163783576803
loc/g/dblH/clear_lo	4608172990664854727	1.219951138377654
loc/g/dblH/clear_hi	4609363476049781415	1.4842919953427243
loc/g/dblH/v0	4584644013196286399	0.031179197376241193
loc/g/dblH/v1	4582034034199863763	0.022124013702439726
loc/g/dblH/v2	4580884326487337178	0.018135163783576803
loc/g/dblH/v3	4583415771635870160	0.026917878438192322
loc/g/dblH/v4	4585805974343732414	0.03917111987507259
loc/g/kp25/idx	4613937818241073152	3.0
loc/g/kp25/J	4630263366890291200	36.0
loc/g/kp25/C	4615626668101337088	3.75
loc/g/kp25/gmin	4580956973959760174	0.0183872103353419
loc/g/kp25/clear_lo	4609070918440975318	1.4193311566775626
loc/g/kp25/clear_hi	4607885009410211066	1.1560064544644875
loc/g/kp25/v0	4585985916525720714	0.04041971958472697
loc/g/kp25/v1	4584861745946925742	0.032619219208574676
loc/g/kp25/v2	4583179325327216862	0.026097540513334454
loc/g/kp25/v3	4580956973959760174	0.0183872103353419
loc/g/kp25/v4	4581783769564833262	0.02125573382725137
loc/g/kp40/idx	4607182418800017408	1.0
loc/g/kp40/J	4621256167635550208	9.0
loc/g/kp40/C	4611123068473966592	1.875
