# slice U oracle (cpython) - rungs 49+50+51+52 readers - key	u64 bits (or an integer)	repr
A/lp/3/Tt4_peak_lim	4655198387921694523	1701.5673791644647
A/lp/3/nu_hp_end	4606804994644278205	0.9580975012248626
A/lp/3/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/lp/3/n_engaged	10	10
A/lp/3/both_edges_inside_ramp	1	1
A/lp/3/spool	1	'lp'
A/lp/3/s_eng	4594932627813569659	0.16
A/lp/3/s_rel	4599796515411129795	0.34
A/hp/0/phi_lim	4606281698874543309	0.9
A/hp/0/r	4602678819172646912	0.5
A/hp/0/rho	4607182418800017408	1.0
A/hp/0/hold_err	4383128337338335232	1.1102230246251565e-15
A/hp/0/s_lp_bare	4597814931575086775	0.23999999999999996
A/hp/0/s_hp_bare	4600877379321698715	0.4000000000000001
A/hp/0/relief_lp	4577076526612962240	0.01027460205788866
A/hp/0/relief_hp	4585752630682040336	0.03880097386614534
A/hp/0/relief_watched	4585752630682040336	0.03880097386614534
A/hp/0/relief_other	4577076526612962240	0.01027460205788866
A/hp/0/s_min_other	4593311331947716281	0.12000000000000001
A/hp/0/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/hp/0/min_phi_lp_lim	4604892253573173473	0.7457405834961969
A/hp/0/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/hp/0/min_phi_hp_lim	4606281698874543303	0.8999999999999994
A/hp/0/fuel_removed	4569803896037043728	0.0033208997664340226
A/hp/0/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/hp/0/Tt4_peak_lim	4654730258816314856	1595.1271438923377
A/hp/0/nu_hp_end	4606796119501980754	0.9571121624923171
A/hp/0/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/hp/0/n_engaged	41	41
A/hp/0/both_edges_inside_ramp	0	0
A/hp/0/spool	2	'hp'
A/hp/0/s_eng	4593311331947716281	0.12000000000000001
A/hp/0/s_rel	4606461842859638133	0.9200000000000005
A/hp/1/phi_lim	4606101554889448489	0.88
A/hp/1/r	4602678819172646912	0.5
A/hp/1/rho	4607182418800017408	1.0
A/hp/1/hold_err	4380876537524649984	7.771561172376096e-16
A/hp/1/s_lp_bare	4597814931575086775	0.23999999999999996
A/hp/1/s_hp_bare	4600877379321698715	0.4000000000000001
A/hp/1/relief_lp	4566025086351057408	0.0018176136490258843
A/hp/1/relief_hp	4581076233177881472	0.01880097386614521
A/hp/1/relief_watched	4581076233177881472	0.01880097386614521
A/hp/1/relief_other	4566025086351057408	0.0018176136490258843
A/hp/1/s_min_other	4595653203753948938	0.18
A/hp/1/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/hp/1/min_phi_lp_lim	4604816079793479811	0.7372835950873341
A/hp/1/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/hp/1/min_phi_hp_lim	4606101554889448482	0.8799999999999992
A/hp/1/fuel_removed	4560900875645441963	0.0008415200365827676
A/hp/1/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/hp/1/Tt4_peak_lim	4654954148042821952	1646.0336602153984
A/hp/1/nu_hp_end	4606803377262504496	0.9579179357763845
A/hp/1/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/hp/1/n_engaged	22	22
A/hp/1/both_edges_inside_ramp	0	0
A/hp/1/spool	2	'hp'
A/hp/1/s_eng	4596373779694328217	0.19999999999999998
A/hp/1/s_rel	4603759683083215833	0.6200000000000002
A/hp/2/phi_lim	4606011482896901079	0.87
A/hp/2/r	4602678819172646912	0.5
A/hp/2/rho	4607182418800017408	1.0
A/hp/2/hold_err	4382002437431492608	8.881784197001252e-16
A/hp/2/s_lp_bare	4597814931575086775	0.23999999999999996
A/hp/2/s_hp_bare	4600877379321698715	0.4000000000000001
A/hp/2/relief_lp	0	0.0
A/hp/2/relief_hp	4576227037796934464	0.008800973866145534
A/hp/2/relief_watched	4576227037796934464	0.008800973866145534
A/hp/2/relief_other	0	0.0
A/hp/2/s_min_other	4597814931575086775	0.23999999999999996
A/hp/2/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/hp/2/min_phi_lp_lim	4604799708185174898	0.7354659814383082
A/hp/2/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/hp/2/min_phi_hp_lim	4606011482896901075	0.8699999999999996
A/hp/2/fuel_removed	4553329691507578582	0.0002544659287634204
A/hp/2/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/hp/2/Tt4_peak_lim	4655106937042894508	1680.7738567291917
A/hp/2/nu_hp_end	4606804626273998427	0.9580566039082429
A/hp/2/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/hp/2/n_engaged	14	14
A/hp/2/both_edges_inside_ramp	0	0
A/hp/2/spool	2	'hp'
A/hp/2/s_eng	4598355363530371235	0.25999999999999995
A/hp/2/s_rel	4602858963157741733	0.5200000000000001
A/hp/3/phi_lim	4605966446900627374	0.865
A/hp/3/r	4602678819172646912	0.5
A/hp/3/rho	4607182418800017408	1.0
A/hp/3/hold_err	4384254237245177856	1.3322676295501878e-15
A/hp/3/s_lp_bare	4597814931575086775	0.23999999999999996
A/hp/3/s_hp_bare	4600877379321698715	0.4000000000000001
A/hp/3/relief_lp	0	0.0
A/hp/3/relief_hp	4570910871543766016	0.0038009738661446413
A/hp/3/relief_watched	4570910871543766016	0.0038009738661446413
A/hp/3/relief_other	0	0.0
A/hp/3/s_min_other	4597814931575086775	0.23999999999999996
A/hp/3/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/hp/3/min_phi_lp_lim	4604799708185174898	0.7354659814383082
